24 48
9 4
9 3
5 8
10 1
3 1
3 6
2 2
5 10
7 2
5 1
1 7
2 4
4 3
2 7
1 5
10 5
8 3
4 10
6 2
4 1
10 3
10 1
1 5
4 9
18 19 54
20 14 93
15 19 52
10 18 80
16 20 98
12 11 99
18 20 85
15 10 64
16 15 69
14 20 83
12 20 69
18 18 92
19 19 62
17 18 68
12 16 81
17 12 52
15 13 70
16 14 58
15 10 72
19 10 96
13 19 75
13 10 79
15 16 89
20 15 97
10 16 90
12 16 60
20 11 68
18 10 65
15 15 94
11 19 82
15 12 73
16 18 75
20 13 52
10 16 89
18 12 96
14 10 64
16 13 68
12 15 61
10 16 98
13 18 78
10 20 97
13 15 91
15 16 54
19 14 57
20 12 87
20 17 73
17 16 88
16 10 78
