26 52
10 10
10 7
5 5
4 7
2 6
6 3
6 1
8 5
6 3
9 7
8 2
4 7
2 6
9 8
7 2
7 1
10 2
6 6
9 4
4 7
7 7
9 4
3 5
1 2
9 8
10 7
11 20 98
12 11 87
18 19 83
12 10 68
10 16 51
12 15 97
18 15 59
10 17 60
19 20 93
16 20 74
17 15 88
20 11 67
18 19 99
15 20 96
17 19 61
17 19 100
19 15 65
14 16 77
16 15 69
13 15 84
17 11 60
10 20 65
16 16 58
17 13 96
12 10 90
18 14 65
15 14 91
14 11 65
13 10 77
16 13 62
11 13 89
15 19 80
13 11 90
17 17 70
16 16 93
15 16 66
18 15 68
10 10 84
19 16 82
19 11 76
20 15 80
10 12 86
19 14 58
18 15 82
17 12 74
17 20 78
11 17 62
13 20 99
16 12 91
15 12 81
20 15 98
13 10 61
