27 54
9 6
7 1
5 9
5 2
7 3
7 6
3 7
6 10
2 10
1 1
1 1
3 7
9 5
3 2
6 1
6 2
7 8
2 1
4 7
5 8
10 8
10 1
5 10
10 9
10 4
7 1
8 1
17 12 88
10 12 56
14 12 51
12 19 88
10 19 94
13 20 57
18 15 57
13 11 90
11 17 78
13 19 66
11 12 86
16 17 100
15 14 93
19 11 87
13 10 95
10 15 88
17 14 88
10 19 54
20 10 66
18 13 79
18 16 59
18 13 59
14 10 72
10 16 99
10 15 58
17 11 87
12 15 88
20 17 92
12 17 99
15 15 53
19 14 65
17 12 73
13 17 98
13 10 91
20 20 90
17 16 73
13 19 66
11 19 57
16 17 87
20 20 52
20 19 77
14 14 86
11 15 75
18 10 86
17 19 54
11 10 86
14 19 64
11 14 83
18 17 56
13 13 81
10 10 78
12 16 66
15 16 73
13 15 68
