31 62
6 7
8 5
7 8
8 10
6 5
4 4
10 7
4 2
5 9
4 6
8 3
9 5
7 10
6 6
6 8
3 8
3 1
4 1
1 2
8 10
2 1
4 7
3 3
9 8
2 8
2 3
4 1
7 7
9 4
7 10
4 8
20 20 84
12 12 90
13 15 52
20 14 86
20 18 93
20 12 74
11 16 93
11 17 51
16 18 70
14 11 50
10 18 91
15 19 62
12 13 70
17 18 74
19 11 77
18 10 78
15 16 71
11 10 72
10 15 98
19 19 100
17 12 79
20 10 67
12 10 99
15 10 76
14 14 92
17 17 72
16 19 75
11 14 96
16 16 90
17 14 92
17 17 56
20 10 83
17 11 68
20 14 91
18 14 69
11 11 50
17 19 69
17 15 50
19 13 91
12 20 96
20 18 74
11 13 82
17 18 83
15 12 71
14 17 52
12 10 89
11 17 51
19 20 88
18 13 78
19 10 78
15 17 65
20 17 82
16 13 97
15 14 90
17 18 92
11 14 97
10 11 68
12 11 97
18 10 68
16 20 96
17 14 90
15 19 55
