32 64
7 7
8 1
6 1
9 6
4 4
8 1
7 3
5 8
9 7
1 5
10 2
9 7
2 8
1 2
3 2
6 6
10 10
3 4
9 2
4 3
8 5
7 6
7 3
7 10
1 9
2 8
10 9
5 5
4 4
3 5
2 3
5 5
16 16 80
11 11 64
12 12 62
20 14 84
11 20 72
12 16 99
17 18 66
14 13 93
20 12 67
12 20 93
14 11 55
18 20 58
17 18 59
11 13 70
19 20 68
16 18 96
11 14 66
13 20 64
20 12 83
12 17 68
11 14 72
19 19 62
14 18 91
18 16 81
16 10 80
20 17 85
12 10 96
15 15 58
11 13 75
11 16 51
20 11 80
20 17 57
20 20 59
18 19 90
13 13 84
10 15 64
11 12 79
10 10 54
16 11 80
14 12 50
14 11 74
19 20 67
15 13 66
16 13 67
11 17 68
12 18 59
10 16 71
10 18 57
12 16 78
10 14 57
16 16 54
18 11 57
18 11 95
19 11 83
11 14 96
14 19 99
17 17 93
16 10 74
13 17 82
19 10 65
12 10 52
17 15 86
18 14 73
18 14 94
