34 68
6 6
8 3
9 3
4 9
2 10
4 2
10 2
5 8
8 1
8 8
9 10
5 6
9 2
3 3
2 3
1 3
1 4
7 9
9 2
8 7
6 3
8 10
2 5
7 2
5 9
10 2
7 10
5 3
5 8
9 1
9 1
4 1
1 9
7 9
20 13 55
15 13 60
10 10 51
10 16 76
14 14 66
13 13 53
13 10 59
13 19 61
12 20 91
16 18 81
20 13 63
20 15 66
15 12 55
10 16 54
14 11 89
19 18 92
12 19 74
11 18 90
17 12 86
17 13 89
14 15 71
14 15 69
13 12 53
18 14 56
10 18 67
10 10 84
12 11 73
10 19 50
10 20 88
18 20 50
16 15 82
11 12 100
12 19 58
20 11 90
19 12 99
12 12 94
10 18 85
14 20 70
13 15 53
12 15 84
13 19 84
18 19 76
16 18 97
19 12 55
15 19 83
18 12 61
20 19 60
13 15 90
20 19 71
12 12 98
20 13 61
17 20 78
10 14 62
12 13 70
20 19 80
16 18 62
20 15 66
12 10 56
20 13 75
17 17 76
13 14 76
19 20 66
10 10 100
19 19 51
20 17 86
15 14 71
14 19 94
17 19 91
