36 72
6 6
7 7
6 2
1 10
4 10
5 4
3 1
1 1
6 7
5 4
1 4
2 10
2 6
3 1
1 4
6 9
1 2
8 7
4 2
1 3
9 9
6 6
7 8
2 7
8 6
9 5
2 1
2 9
4 2
9 1
10 2
9 8
4 3
10 1
1 10
2 8
20 10 62
11 19 100
17 14 99
11 14 64
18 15 55
10 13 69
14 14 76
13 15 97
16 19 94
20 15 95
11 10 68
10 11 58
11 11 95
11 15 69
12 13 87
19 13 86
13 10 93
10 17 52
16 19 97
20 15 72
12 16 57
11 14 79
19 13 65
19 18 66
18 13 71
14 17 69
12 15 94
19 15 74
14 11 62
14 18 75
15 17 57
18 20 50
19 15 95
17 20 92
13 13 72
15 18 94
14 20 51
16 15 97
20 14 83
20 16 50
17 12 55
20 11 76
18 19 79
14 19 62
19 15 93
10 11 90
12 14 96
14 19 99
12 16 77
11 17 54
19 10 78
17 18 70
10 17 87
20 16 61
15 19 97
16 11 92
14 19 52
15 14 71
13 17 91
12 20 59
19 18 58
15 10 99
18 14 94
17 19 93
18 10 80
14 17 98
10 11 67
14 20 79
13 19 50
14 14 68
13 10 54
16 19 62
