37 74
3 1
9 3
7 4
8 1
1 2
2 1
10 1
5 6
5 1
4 2
9 10
7 3
2 9
8 6
10 6
6 7
1 7
8 1
7 6
7 1
7 9
4 5
4 7
9 9
7 7
3 9
2 2
2 1
4 2
10 9
6 10
8 3
1 7
3 9
7 8
9 6
1 1
16 11 69
18 15 77
11 16 52
13 15 61
12 19 53
18 20 89
13 15 63
14 17 70
20 11 71
12 11 81
10 18 82
12 14 55
14 13 90
16 17 89
13 18 96
19 18 54
14 18 98
12 12 86
13 14 58
17 20 95
19 20 54
14 13 65
19 16 63
14 16 95
12 10 73
14 16 74
20 18 72
14 10 97
13 20 62
14 19 88
20 17 78
14 10 69
16 13 53
10 20 57
19 18 77
10 12 85
13 14 93
15 11 91
12 16 78
18 12 89
20 12 66
13 15 61
14 11 81
19 14 99
11 10 94
10 20 89
14 13 70
10 17 51
12 20 72
17 15 85
14 20 68
18 14 55
13 18 86
16 14 66
11 11 85
14 14 59
16 13 51
17 16 56
18 14 64
14 20 91
17 16 75
18 20 96
16 20 74
17 14 51
18 14 84
19 14 50
10 20 59
17 19 72
17 17 94
19 17 81
15 18 97
16 17 64
18 19 65
16 17 54
