39 78
1 1
2 1
1 10
8 10
7 10
3 5
6 7
9 3
2 7
3 10
7 9
6 8
6 8
3 9
1 8
5 1
2 9
4 7
6 6
5 10
4 9
6 9
1 3
4 4
7 3
4 9
10 8
8 10
2 10
1 7
10 7
2 5
5 3
4 6
10 1
5 10
3 10
8 8
1 6
12 20 54
11 10 57
17 19 82
12 12 88
17 12 58
20 16 84
14 19 79
16 19 98
18 19 58
15 20 70
18 11 90
19 18 85
12 15 70
13 20 51
10 15 81
11 12 51
20 16 99
15 10 85
11 14 53
15 19 64
13 14 61
12 16 98
10 18 63
19 14 97
11 20 63
13 11 100
19 13 78
13 10 94
15 16 92
20 19 97
20 11 50
12 14 98
11 16 53
14 16 74
16 13 72
12 20 64
15 15 80
13 12 96
11 13 95
14 10 89
10 14 74
10 16 77
15 19 60
14 16 50
17 10 61
18 13 56
20 19 52
19 20 71
13 14 94
10 15 66
17 13 78
20 19 93
17 11 71
18 11 64
15 10 90
16 12 68
15 15 94
13 18 71
20 10 89
11 11 77
18 11 56
11 20 96
13 17 100
19 16 76
16 12 95
11 10 63
16 11 62
14 18 66
14 10 57
16 20 64
19 15 82
15 11 75
14 16 97
15 13 70
18 19 61
12 13 95
19 14 62
13 17 59
