42 84
2 7
10 5
3 2
4 5
9 9
5 8
2 10
9 3
6 3
10 2
1 3
6 3
6 9
7 1
1 5
8 10
1 2
8 4
5 1
5 1
3 8
8 3
7 1
3 6
6 8
1 6
10 5
8 9
2 4
4 8
5 4
8 3
5 3
9 6
2 9
9 10
5 5
5 7
5 6
7 7
10 7
6 3
11 10 55
10 20 68
12 16 100
11 14 87
10 12 74
13 17 78
15 19 63
13 10 66
16 15 56
18 20 88
18 19 92
10 15 94
11 20 53
18 18 72
19 20 76
15 12 65
13 20 98
19 19 51
14 15 77
10 14 68
18 20 99
12 14 75
20 18 60
17 20 67
18 18 76
14 11 60
11 17 51
20 19 77
12 12 62
20 19 97
14 10 90
17 11 55
14 10 50
15 12 77
18 17 78
20 18 56
12 19 67
11 18 82
14 20 99
13 10 54
15 11 76
16 14 67
18 12 53
12 18 70
19 20 83
12 12 72
14 19 57
13 15 64
15 15 54
18 15 70
20 17 74
13 10 83
11 13 79
12 16 92
15 14 86
19 19 88
14 14 82
12 14 85
10 13 50
13 19 100
17 10 66
15 14 65
12 11 53
16 15 55
16 16 53
17 17 59
11 11 93
15 15 91
17 13 99
10 16 64
15 16 94
18 13 92
19 10 64
19 15 84
19 17 95
20 10 61
20 16 95
17 12 76
14 17 100
15 18 87
17 19 52
12 17 62
15 18 78
13 17 82
