43 86
6 3
9 9
1 6
6 7
1 1
4 9
4 9
10 2
9 7
6 7
2 7
8 1
9 8
1 9
8 3
2 5
10 1
3 10
3 5
2 6
3 6
10 7
10 6
7 2
7 8
6 8
10 10
8 5
1 4
10 5
9 6
4 7
4 6
3 7
5 7
7 4
7 7
7 9
7 10
8 1
10 3
8 5
3 3
17 19 88
19 13 99
15 18 88
12 20 59
20 19 55
13 19 91
15 14 83
10 14 87
11 13 96
16 19 69
18 17 86
15 11 90
16 19 76
15 12 59
12 11 81
11 16 62
10 19 52
12 17 69
17 13 98
12 19 89
13 10 97
12 16 50
12 17 89
12 16 55
13 19 95
11 16 96
11 19 97
17 17 51
19 16 99
10 14 91
17 11 69
19 18 69
14 19 67
20 13 51
12 10 79
17 17 73
19 20 77
11 17 66
11 20 50
19 17 93
14 14 59
15 11 96
11 14 83
12 18 61
16 16 98
15 10 63
12 19 55
18 15 65
20 14 85
20 16 70
13 15 62
15 18 61
19 20 70
17 17 94
11 19 95
10 16 86
15 11 98
16 15 97
14 16 53
19 16 75
20 20 73
10 16 86
18 12 70
13 16 72
10 19 73
20 13 66
16 11 84
10 17 72
15 12 80
17 18 57
18 14 90
11 13 61
11 16 97
16 15 79
16 15 92
17 10 73
15 12 68
20 11 85
13 19 62
13 19 68
10 19 52
17 19 99
18 17 61
18 20 92
19 18 89
14 16 83
