45 90
1 1
7 4
8 7
3 5
4 4
6 6
6 6
8 2
1 3
4 4
5 7
9 1
10 6
10 8
1 4
8 6
3 7
8 6
9 5
2 9
10 10
4 6
8 6
6 9
2 5
6 7
5 4
1 9
2 5
5 5
9 8
4 10
6 3
10 10
6 3
6 4
2 1
6 6
9 10
3 3
2 7
8 7
10 7
8 4
2 3
14 15 96
15 14 88
12 14 71
12 16 69
20 20 65
18 15 92
10 15 96
19 19 54
14 14 97
12 12 66
10 11 51
14 19 65
20 14 92
13 17 100
10 16 56
12 15 70
11 12 77
18 13 92
12 19 50
13 19 63
17 16 90
10 20 95
17 15 88
18 18 96
19 16 89
16 19 96
12 10 61
19 16 98
19 19 67
11 16 100
17 15 84
20 12 74
17 19 92
18 20 88
14 14 95
12 11 57
18 10 56
12 10 57
19 13 90
17 18 96
12 10 98
15 17 53
17 10 74
11 20 94
18 14 62
18 13 69
11 19 88
15 11 82
14 20 95
15 15 67
12 15 83
17 16 94
18 10 70
19 16 88
14 10 97
17 17 55
20 14 84
10 16 50
20 17 95
10 20 91
10 15 71
17 12 65
13 17 76
18 15 74
12 13 98
17 10 58
13 16 61
10 11 75
18 20 76
14 17 98
15 11 67
19 12 74
18 16 78
15 18 91
18 13 83
20 15 54
10 15 80
17 10 62
19 15 89
15 14 89
16 20 83
14 15 91
15 19 51
19 14 75
16 19 74
12 18 54
13 10 64
13 16 52
19 20 98
12 13 97
