46 92
3 1
7 8
9 6
4 10
6 8
4 10
9 9
1 3
10 5
3 4
1 6
5 4
9 5
8 5
2 3
6 3
5 9
7 5
9 4
4 7
5 5
3 2
8 9
8 7
1 2
2 1
9 9
2 2
2 4
4 3
2 9
6 3
10 9
1 5
9 5
8 6
2 4
5 2
5 3
5 7
8 10
5 10
1 1
6 4
8 6
6 3
13 13 61
10 10 86
15 15 50
17 11 56
18 18 88
18 10 58
19 17 54
16 19 88
11 17 69
12 14 70
11 19 70
17 16 97
18 14 54
15 19 59
17 17 62
13 16 75
17 19 51
17 19 78
14 20 96
18 12 76
17 14 88
16 10 90
16 16 54
12 17 55
14 17 62
20 11 65
15 13 63
11 12 81
20 10 88
13 19 64
11 18 75
13 19 52
20 19 71
17 11 62
20 20 96
11 13 66
19 19 75
17 19 78
11 17 72
10 10 81
17 15 99
13 14 72
11 13 89
10 20 85
11 14 68
15 13 53
12 13 100
14 17 63
13 18 94
16 19 95
13 14 88
19 12 65
17 16 79
12 14 78
14 15 86
19 14 84
17 17 67
15 11 54
14 11 50
13 12 88
20 13 55
14 11 63
19 18 74
13 13 72
15 13 68
13 11 56
13 17 96
13 16 70
14 15 85
13 20 51
20 15 50
10 17 96
12 20 96
11 13 68
12 10 91
18 19 87
18 12 78
19 20 63
17 17 85
19 13 51
14 10 56
13 10 78
14 12 70
17 11 63
12 19 84
15 10 64
15 13 86
14 10 65
19 18 78
12 19 100
19 16 57
19 14 89
