47 94
6 4
7 10
7 5
5 9
4 5
9 9
6 9
7 8
5 3
4 8
2 8
8 9
10 8
5 5
6 8
3 6
10 2
4 1
7 9
9 2
2 1
2 6
6 4
5 3
4 8
1 8
3 6
1 7
1 1
8 8
10 2
4 3
1 4
7 4
7 7
9 4
3 9
7 7
7 8
5 3
6 9
7 6
10 8
6 6
7 8
9 3
2 7
12 13 73
17 16 96
18 18 87
15 20 90
13 11 80
11 15 100
10 18 80
17 16 71
14 12 81
14 19 94
15 10 54
17 19 90
12 14 82
20 13 56
13 15 90
18 16 53
12 19 68
10 19 92
11 15 79
20 10 62
11 11 76
18 16 72
17 14 87
12 13 81
19 16 61
20 19 62
11 16 99
13 10 66
10 15 66
14 12 74
20 18 100
16 17 60
14 18 59
20 10 74
14 19 82
11 13 61
11 18 81
12 17 58
12 10 94
20 17 92
13 20 85
20 15 76
10 11 83
14 19 91
18 18 64
14 14 100
13 14 81
10 19 91
15 14 96
17 13 63
16 18 70
14 15 88
18 18 95
15 11 91
17 16 65
14 13 65
16 17 72
15 10 66
14 15 51
18 15 61
17 13 98
16 16 85
18 13 81
19 14 94
20 10 85
15 19 67
17 10 80
11 20 75
10 19 60
18 12 89
18 10 83
20 15 99
17 20 52
19 12 69
16 17 75
12 18 97
16 11 62
18 19 60
11 18 84
13 15 65
12 10 59
11 10 90
13 20 95
11 20 100
14 20 91
14 10 77
20 10 53
20 19 63
10 10 70
16 10 79
19 16 100
10 17 55
20 13 69
16 10 66
