48 96
3 9
1 10
3 6
5 8
8 1
6 8
2 7
4 9
9 8
7 8
10 10
5 5
8 2
4 3
10 1
8 2
8 9
6 2
10 7
3 5
9 2
5 9
6 8
5 9
1 8
8 9
2 3
1 5
10 1
6 5
7 2
3 1
7 4
1 8
6 3
10 8
1 10
7 8
4 7
4 3
9 10
1 1
6 4
1 4
5 2
5 8
1 1
9 8
10 11 77
20 19 62
10 15 58
13 10 100
12 20 70
17 10 96
16 15 93
20 20 99
18 14 75
20 14 92
13 10 76
14 15 63
14 12 69
12 10 51
13 20 81
10 13 72
14 18 88
20 18 84
16 10 72
11 13 87
14 11 53
11 18 94
12 18 67
13 15 61
13 10 76
15 11 76
16 15 51
20 19 67
20 11 71
14 11 90
17 15 53
14 12 63
15 13 53
20 16 98
12 17 96
15 19 82
16 19 50
12 11 70
10 15 58
18 20 87
13 20 65
10 14 76
20 16 88
12 14 80
19 10 62
15 19 60
16 18 63
17 14 93
19 19 98
19 20 72
19 16 81
20 16 93
15 10 71
18 19 83
11 18 68
19 10 73
15 10 92
17 16 72
20 20 88
13 20 85
18 13 70
11 17 64
18 19 93
18 11 83
19 19 78
17 11 85
11 17 88
15 16 95
19 19 73
19 18 81
12 15 72
19 10 80
13 18 63
19 13 53
15 13 94
11 18 55
13 16 69
13 13 83
12 13 64
20 17 91
20 13 65
14 13 73
19 16 60
15 15 99
19 17 52
14 17 52
18 10 53
16 10 83
17 12 73
19 15 87
10 12 59
10 20 54
14 10 80
12 19 62
14 14 98
14 14 68
