50 100
5 9
7 8
5 5
4 1
1 1
6 1
3 8
7 4
6 9
9 4
6 3
3 8
8 8
8 9
9 4
6 7
1 4
5 10
1 2
5 5
10 1
8 10
8 5
3 8
10 8
10 6
7 5
9 5
6 2
7 5
10 3
3 6
2 7
6 6
8 5
5 6
1 7
10 7
3 3
10 8
7 4
4 10
4 3
4 3
8 1
7 3
9 1
6 1
8 9
3 2
13 10 65
20 15 91
14 11 85
14 18 70
16 14 67
16 17 100
20 11 100
15 16 98
17 18 80
19 11 60
19 13 64
11 13 93
19 11 50
11 14 58
17 12 54
11 10 80
10 20 59
11 10 55
16 16 74
15 14 91
14 18 53
20 15 51
13 19 74
14 17 100
18 13 93
20 13 92
11 14 67
11 12 93
20 11 85
19 20 90
11 15 63
13 15 84
16 12 55
16 20 92
14 14 99
18 10 70
13 11 88
14 15 82
15 15 71
16 10 55
10 16 52
11 14 95
14 11 58
18 12 88
20 12 76
11 14 57
16 12 60
18 20 68
11 19 59
16 19 99
16 20 92
10 15 93
15 17 72
13 17 87
16 13 51
19 20 81
20 15 77
11 16 54
11 12 81
11 15 80
20 11 76
13 10 82
14 20 66
17 18 63
15 12 62
18 18 57
16 17 98
19 10 69
12 20 83
16 18 97
20 19 89
19 11 77
20 14 83
11 18 98
11 10 65
18 14 61
15 15 99
20 12 81
19 10 91
10 14 68
11 18 79
20 20 91
14 18 80
12 15 54
18 10 98
19 13 60
15 14 77
12 12 89
13 14 54
20 14 73
15 19 100
17 13 78
14 10 100
15 13 78
13 12 84
14 19 90
15 17 72
20 18 96
17 17 79
20 13 78
