51 102
10 10
2 8
7 7
6 8
5 10
2 5
5 7
8 9
3 7
1 6
5 3
3 5
4 4
9 1
8 4
3 4
8 5
10 3
4 10
1 1
4 6
8 8
5 3
6 4
8 4
2 10
9 4
4 5
5 9
7 8
7 2
7 8
3 4
1 4
10 7
8 10
8 7
4 5
3 3
9 7
7 1
7 7
8 10
2 3
3 1
8 9
3 3
10 3
2 2
7 7
2 5
20 10 78
13 14 98
20 11 76
13 19 99
20 13 62
13 12 63
12 13 79
13 20 61
14 10 57
13 14 81
20 12 53
10 10 61
15 14 84
11 10 58
20 20 80
20 17 57
20 20 58
16 19 74
10 14 79
12 10 63
12 15 73
19 13 54
15 17 53
20 11 76
11 18 68
14 18 51
17 17 75
15 18 50
13 12 86
16 12 74
19 15 50
18 19 76
15 17 75
20 14 88
17 19 87
13 19 90
12 16 58
17 10 90
17 15 81
14 14 97
17 10 77
18 12 88
13 16 63
12 13 87
10 15 76
19 15 88
10 16 99
13 16 93
18 18 92
17 16 58
13 12 85
11 10 66
13 11 93
13 17 86
18 20 73
17 20 70
16 20 91
16 11 85
16 19 66
13 19 50
15 16 53
12 18 96
15 12 80
13 14 52
12 11 50
18 19 84
17 12 96
17 19 59
14 15 69
15 14 59
20 18 70
10 13 68
14 15 62
11 20 52
19 15 59
18 20 72
19 11 82
17 20 53
15 13 88
13 17 57
16 11 69
19 10 56
10 19 65
19 19 99
20 10 92
20 20 86
15 14 92
10 17 68
18 10 88
13 20 51
14 17 81
20 18 97
16 11 100
12 14 57
12 14 97
15 10 77
14 18 99
20 19 85
17 20 73
20 19 99
19 16 79
14 10 63
