52 104
3 1
10 10
9 9
5 1
2 9
8 6
8 10
2 4
5 10
1 10
3 7
8 5
1 10
10 1
3 1
3 3
7 8
1 7
5 10
8 6
3 4
7 10
2 10
7 10
4 4
4 2
2 1
6 1
1 5
4 9
4 10
7 10
4 6
6 10
8 7
7 1
7 4
4 4
8 6
1 10
4 6
7 1
9 4
6 3
2 10
1 8
10 3
5 3
3 8
5 4
1 3
6 7
16 20 63
15 18 100
15 20 61
13 16 80
17 18 92
16 18 83
20 19 58
16 15 59
17 19 65
11 18 87
15 19 92
19 17 99
19 19 77
20 11 85
14 15 88
17 20 83
19 20 66
12 13 99
20 19 93
17 14 83
14 15 50
18 19 74
10 10 98
11 12 58
19 15 52
11 18 73
13 15 75
14 19 52
17 10 89
20 17 73
11 14 73
16 13 55
16 18 71
14 11 98
18 11 56
18 17 89
18 13 99
14 16 55
12 10 51
18 17 82
13 20 71
17 18 90
14 12 61
12 15 96
12 16 56
13 14 79
20 10 73
15 10 80
11 13 59
12 16 59
10 11 77
13 19 92
10 20 84
17 15 51
11 15 60
17 16 53
13 19 76
15 19 70
16 12 92
20 18 62
12 18 93
11 15 52
18 11 67
17 11 64
17 18 76
13 11 90
17 17 72
19 13 69
10 12 71
14 15 57
15 10 96
16 18 63
14 10 85
19 10 83
12 15 69
11 19 54
20 15 68
20 18 89
14 14 50
20 15 88
19 13 62
18 11 55
11 17 63
17 18 55
20 14 69
19 13 76
11 11 82
19 19 84
15 12 50
16 13 77
17 14 95
19 11 98
14 13 95
20 13 88
10 12 86
10 19 71
15 10 100
16 11 73
20 19 92
17 16 55
18 18 64
18 14 66
14 15 78
15 15 85
