53 106
10 9
4 9
9 2
7 10
7 6
8 2
10 9
1 10
3 5
10 10
3 2
6 6
4 7
6 3
4 10
9 3
3 5
1 2
8 2
2 9
10 8
6 8
2 2
4 6
4 8
9 7
8 1
8 3
2 2
7 1
7 7
4 10
1 4
10 9
5 6
6 2
5 4
2 8
5 6
1 10
7 3
9 6
3 10
7 3
3 2
9 1
2 8
9 3
10 2
5 6
8 9
9 4
3 6
20 12 82
13 15 100
20 12 81
19 17 50
11 18 53
12 18 59
15 12 96
11 12 60
10 14 67
14 19 62
16 18 60
17 10 55
12 14 73
20 19 80
20 16 95
17 13 68
11 10 68
15 17 90
13 13 60
19 19 81
10 14 95
10 16 77
12 15 62
15 10 63
17 14 95
18 13 57
18 13 74
18 15 96
20 10 78
12 13 56
17 20 88
12 18 53
12 17 88
16 15 63
10 19 79
12 16 65
17 16 62
11 15 50
17 16 71
19 11 66
10 13 70
19 11 93
14 14 67
14 18 82
20 11 91
15 11 63
15 14 69
14 17 71
16 10 70
16 16 51
12 12 79
16 15 100
20 12 63
10 17 58
14 14 53
18 11 63
12 10 63
20 12 60
20 16 85
11 15 96
20 12 77
10 10 73
20 18 93
10 17 100
20 11 96
13 15 54
20 15 55
18 13 69
10 17 50
13 19 69
11 15 53
20 15 76
11 17 60
11 12 59
12 14 63
12 19 74
20 13 59
14 19 95
11 20 52
11 12 65
15 11 100
19 11 58
12 20 75
14 20 74
13 10 69
20 19 85
15 20 68
14 10 54
20 15 97
10 14 60
10 10 61
14 18 61
15 14 77
11 14 91
19 14 64
19 14 100
20 17 53
18 14 67
16 14 90
19 18 51
11 18 68
16 16 87
15 18 60
11 14 92
12 12 61
20 18 86
