54 108
2 6
1 7
1 3
6 3
8 3
6 3
10 6
9 8
10 7
4 2
7 10
9 6
6 5
6 2
1 2
4 8
8 7
10 10
4 8
2 5
2 9
3 7
2 10
9 1
6 7
10 10
3 8
2 8
5 2
9 10
1 3
9 9
1 9
3 6
5 5
6 4
7 8
7 10
5 2
6 3
5 2
3 6
3 5
3 10
2 4
7 9
6 9
1 1
6 5
1 4
8 8
10 3
2 5
5 9
20 16 50
19 20 52
14 15 99
15 18 87
13 12 70
16 20 54
15 13 94
17 16 99
15 17 69
11 13 54
18 17 94
12 13 56
16 12 50
12 17 64
19 10 91
13 19 63
18 16 63
10 11 85
11 15 86
12 19 53
15 15 75
11 20 56
15 20 68
18 19 67
16 20 84
17 19 89
17 20 90
13 10 88
14 15 55
12 14 68
20 12 52
12 13 85
20 10 61
16 15 91
19 19 54
11 10 96
16 13 58
20 11 80
10 18 57
19 12 91
19 17 62
16 18 59
20 10 74
11 16 65
17 13 56
12 20 77
16 20 71
18 15 84
19 19 71
19 13 66
10 12 88
11 13 100
10 13 67
19 20 86
14 17 78
19 14 91
17 18 98
14 19 51
17 19 67
12 20 81
15 20 68
10 12 80
18 13 72
18 10 85
13 10 73
11 14 67
17 13 98
15 18 97
19 16 85
17 18 91
19 11 71
12 20 62
20 20 86
14 19 57
16 10 97
20 19 58
16 13 93
14 18 64
11 18 86
20 12 84
20 18 57
12 13 84
10 14 83
13 18 69
14 10 84
13 16 94
19 11 83
10 17 69
18 18 62
17 17 95
12 15 82
20 11 98
14 15 90
13 17 99
10 17 83
15 12 92
14 20 68
16 17 100
10 10 50
18 10 95
16 19 66
15 16 67
17 19 94
19 20 97
15 10 65
16 18 71
19 16 89
13 17 59
