60 120
4 6
3 2
3 2
9 6
9 4
9 5
5 1
10 10
5 10
9 1
1 7
10 2
6 8
10 2
4 3
9 5
5 7
5 2
10 7
8 8
2 3
1 2
3 1
3 7
2 3
8 9
2 3
6 7
7 1
1 1
1 4
7 10
6 8
1 3
4 3
10 3
1 2
7 2
9 2
3 6
7 9
9 6
10 5
5 7
1 2
2 4
8 8
6 2
4 5
8 5
9 9
3 7
7 3
4 10
6 4
6 4
1 3
10 4
3 9
3 8
20 20 68
20 10 88
14 11 67
14 12 93
17 11 95
11 15 92
19 10 94
10 17 99
12 10 84
10 10 53
10 13 82
13 11 72
18 14 90
16 18 78
19 13 69
20 13 69
16 19 68
16 10 77
19 18 94
14 18 95
13 17 52
17 13 77
13 13 98
20 19 68
20 19 55
20 16 57
12 17 95
13 11 50
12 17 64
10 13 86
20 12 90
10 18 83
11 10 74
10 17 69
17 12 85
16 14 78
20 17 91
11 11 56
10 16 100
20 19 62
10 20 50
11 19 82
13 12 51
15 16 98
15 17 73
19 19 65
12 19 84
20 14 68
16 17 88
17 14 75
14 18 71
18 10 57
20 18 74
14 12 93
13 20 63
11 11 100
16 13 50
12 18 80
10 18 51
19 14 65
12 14 79
19 17 50
19 16 50
14 18 81
11 14 56
13 10 73
13 16 88
15 13 64
11 18 65
15 16 85
16 15 51
19 10 87
18 12 100
11 13 59
18 17 72
17 11 85
10 16 55
19 20 84
19 11 65
14 13 90
16 20 94
11 10 57
11 18 57
16 20 69
14 18 61
15 14 63
13 14 65
12 16 73
13 13 55
17 16 65
10 17 73
10 17 90
20 17 74
12 16 90
18 12 86
13 18 74
10 10 90
12 18 66
18 10 66
19 16 97
20 19 68
11 19 95
15 19 91
19 16 95
11 17 69
18 14 66
13 15 89
20 12 68
18 10 69
13 18 99
18 17 75
20 20 71
17 16 100
17 18 91
17 12 69
20 11 66
18 19 64
14 18 83
15 16 100
17 13 81
