23 46
9 6
3 10
6 1
9 10
10 9
3 1
1 8
3 5
3 2
1 7
5 9
3 2
3 9
7 6
5 4
5 5
6 8
3 2
7 6
4 1
3 4
2 9
10 9
13 10 95
14 13 77
14 12 53
15 17 59
11 17 51
14 13 53
20 20 53
10 10 73
15 13 67
11 11 100
17 13 54
12 11 50
14 13 80
15 17 66
16 14 86
17 11 96
18 18 82
18 16 58
16 12 84
17 16 51
11 18 93
10 11 61
15 15 87
19 15 79
13 10 94
12 12 76
19 15 72
13 16 96
14 16 60
16 14 74
14 20 56
11 18 67
20 16 68
15 17 70
11 13 68
18 16 89
17 17 90
10 11 87
15 14 61
12 19 75
20 19 68
11 11 93
10 15 85
16 10 62
20 14 54
15 16 54
