25 50
9 8
8 2
7 4
10 2
1 5
2 8
8 8
3 10
2 8
7 9
7 6
4 9
8 4
6 4
8 9
9 2
8 7
9 7
4 8
2 4
10 5
9 4
1 10
2 3
10 6
15 20 57
20 14 63
12 20 51
19 12 88
18 16 68
17 20 97
17 19 84
18 17 52
20 20 53
10 20 78
19 19 85
11 11 62
10 12 57
15 11 83
16 15 73
12 16 51
16 15 61
11 10 73
18 19 95
14 15 82
18 17 72
11 20 100
10 18 61
16 12 62
13 18 79
18 13 97
15 10 95
16 15 93
14 18 72
10 16 56
11 20 67
17 13 76
20 17 56
16 14 98
16 10 73
15 18 94
14 13 83
13 18 93
20 19 86
15 10 73
17 12 56
14 13 76
17 15 80
16 10 57
10 14 50
19 18 67
14 18 58
19 18 100
11 20 55
16 20 52
