28 56
6 10
3 5
8 1
7 2
8 2
8 2
8 4
8 8
9 4
8 6
7 10
4 2
3 4
8 7
10 7
9 4
4 5
9 5
3 3
5 10
2 6
5 8
4 9
4 10
10 10
3 1
2 1
2 9
13 15 61
13 14 65
10 13 57
16 12 63
16 20 74
17 13 64
19 16 82
16 10 79
11 15 68
13 17 91
19 15 81
20 19 54
20 19 84
16 15 53
20 15 54
18 10 85
11 10 61
17 10 66
14 12 52
16 15 97
12 14 82
19 14 84
14 10 74
16 18 76
11 19 84
14 18 100
12 17 70
15 15 68
16 12 73
17 10 86
13 15 99
11 10 72
18 12 56
18 14 58
11 11 61
19 18 84
19 17 80
19 20 94
20 13 90
14 15 52
13 16 89
14 16 76
19 18 81
11 18 50
13 10 62
20 20 98
13 16 84
12 11 54
20 19 82
11 20 76
15 20 98
18 14 95
16 10 59
19 10 55
20 18 98
16 13 51
