29 58
2 8
6 6
8 9
10 8
7 4
10 5
9 2
8 5
8 3
6 3
10 9
9 7
3 10
8 2
10 8
9 8
9 5
5 5
7 3
2 3
6 9
2 5
8 10
2 10
7 2
6 1
8 6
4 9
5 3
17 15 91
17 10 57
19 17 77
13 12 58
18 10 65
15 12 89
18 10 91
15 20 77
16 11 77
16 19 96
10 14 67
15 10 85
18 16 51
10 15 94
19 12 58
12 11 72
12 17 78
13 17 67
14 10 97
12 13 55
16 17 67
10 19 100
20 10 84
11 11 53
12 14 89
16 15 81
20 17 67
17 18 69
10 15 86
12 19 88
14 12 100
11 14 65
10 20 73
16 19 67
11 14 51
19 20 79
15 12 78
14 12 98
19 12 89
11 18 54
16 10 96
18 12 96
14 12 98
19 10 69
18 11 87
18 19 94
16 15 85
13 11 56
10 12 70
13 15 69
17 20 72
14 18 58
16 15 68
16 11 92
11 10 100
13 18 89
20 18 58
13 11 66
