30 60
9 3
5 7
5 10
2 1
5 6
8 5
3 6
7 8
2 8
4 5
8 1
8 10
9 9
2 1
7 3
7 2
2 2
5 3
7 4
7 3
5 5
5 9
4 8
5 2
7 9
8 4
2 2
4 9
1 10
7 3
15 16 58
9 20 96
19 17 62
15 14 99
14 13 67
17 12 64
16 10 70
10 18 89
11 13 95
14 10 59
10 19 58
10 15 79
11 20 84
17 15 78
17 17 99
9 12 51
14 16 91
20 13 93
20 10 87
12 13 70
14 18 81
19 19 57
10 12 68
19 19 82
14 18 91
12 20 75
15 10 70
12 10 65
12 18 64
15 19 78
13 18 87
12 18 90
14 13 83
17 14 75
20 10 80
15 19 81
20 15 78
13 12 67
14 11 61
16 16 96
15 19 50
11 18 50
13 17 51
9 13 75
14 18 52
11 19 79
14 18 57
15 10 90
19 17 69
16 13 94
20 15 100
20 11 97
18 19 94
20 20 78
13 12 73
13 11 53
19 16 84
9 18 95
20 18 88
20 14 79
