33 66
3 3
4 5
3 1
9 5
9 6
8 2
3 7
4 1
10 1
4 5
4 6
9 6
6 7
10 10
7 1
10 9
10 3
5 7
2 8
6 1
9 7
9 5
7 2
5 7
6 8
10 4
3 1
8 2
7 10
10 7
4 7
6 4
5 4
17 17 92
17 12 59
20 20 95
19 19 88
11 18 66
17 14 59
11 20 68
11 19 70
20 17 90
16 20 82
12 16 50
13 20 50
15 10 88
19 15 67
16 16 96
10 10 63
15 13 99
16 12 51
19 20 93
10 13 100
11 13 95
16 13 60
11 13 54
14 15 65
14 13 52
20 13 61
20 17 90
19 10 69
10 12 79
16 14 50
13 10 81
12 15 71
15 10 57
13 20 50
11 19 55
19 18 77
12 19 87
17 19 75
11 19 90
13 12 52
18 12 87
13 12 65
15 14 95
20 17 53
17 13 95
17 17 63
18 15 91
10 14 74
20 12 56
17 12 92
18 18 80
15 20 80
16 10 97
19 16 84
13 12 54
10 12 87
11 17 73
16 14 83
19 18 50
13 12 53
17 11 68
18 18 58
15 12 85
12 18 50
19 11 99
19 16 70
