35 70
8 7
3 8
6 1
8 8
5 8
6 4
1 8
1 3
4 6
2 8
9 8
7 8
10 6
5 1
4 7
7 8
5 9
5 3
1 4
2 8
4 6
8 8
4 3
10 9
8 2
3 8
5 3
6 8
6 1
1 2
6 4
6 6
8 2
5 8
9 10
10 20 63
13 10 82
10 10 69
19 15 52
20 18 78
10 10 86
13 16 52
18 12 56
20 11 60
13 11 98
17 17 93
14 13 89
12 11 77
11 18 72
13 11 67
14 19 64
18 15 52
18 17 87
14 12 91
10 12 65
13 18 69
11 15 93
13 20 73
14 11 83
19 11 54
20 19 80
18 11 68
16 12 82
19 13 69
13 16 55
13 14 78
16 20 56
18 14 69
17 14 50
18 15 71
13 11 69
15 15 96
20 15 82
16 16 97
20 13 79
15 17 67
16 12 71
19 11 96
10 18 73
11 10 64
13 16 62
18 13 82
20 20 52
18 15 67
11 20 75
15 11 76
17 10 69
18 13 84
11 20 56
15 20 91
14 19 56
17 13 91
12 19 84
13 14 75
19 13 79
14 15 62
13 20 57
16 11 66
12 11 70
11 16 53
17 19 53
19 18 66
16 14 50
13 10 82
14 17 61
