38 76
8 9
4 3
6 10
10 3
1 8
8 6
5 2
9 5
6 3
2 1
1 8
8 8
1 6
10 5
6 9
10 2
6 5
5 6
2 5
8 1
2 2
7 8
5 9
3 7
1 9
3 5
10 10
2 6
1 2
3 7
3 4
6 9
8 4
1 9
4 6
3 4
9 4
10 4
10 14 66
12 10 50
19 13 84
10 18 73
18 20 88
17 13 82
15 20 84
16 12 65
15 18 66
16 16 80
17 11 78
13 19 95
13 14 54
10 18 100
14 14 80
18 19 77
18 17 84
16 11 69
14 20 70
11 16 66
15 19 94
19 10 90
19 13 65
18 12 79
15 14 72
15 18 87
19 19 94
14 11 73
16 12 95
15 18 66
18 15 89
17 15 91
20 19 92
18 16 97
17 14 81
17 14 78
19 17 86
10 10 50
10 16 83
18 10 57
15 19 68
18 18 54
20 11 62
18 17 89
16 10 83
11 12 96
13 19 74
17 17 75
10 15 93
17 10 87
13 17 59
10 16 50
18 13 84
16 15 59
10 18 60
15 15 54
10 13 61
16 17 85
17 14 75
17 14 82
11 15 83
20 18 84
15 10 66
19 14 57
10 18 80
19 16 90
16 19 94
18 10 83
14 19 68
17 10 52
16 18 58
19 17 92
16 17 67
17 13 86
18 15 96
19 12 68
