40 80
5 10
3 7
1 5
9 6
4 1
2 4
3 3
7 1
5 1
6 9
6 2
1 4
4 1
3 10
3 10
1 2
3 4
6 9
5 7
5 6
1 10
2 9
8 5
7 3
10 6
10 1
4 10
6 3
5 2
4 4
9 9
3 8
10 5
1 9
1 3
10 9
6 10
6 2
3 6
8 6
11 13 92
17 20 53
14 17 98
14 10 77
14 19 73
20 17 70
18 12 56
14 16 93
13 10 77
13 11 74
11 15 71
18 15 54
16 13 71
16 18 64
19 17 59
12 20 51
14 15 60
17 12 60
15 13 60
11 12 57
13 16 59
16 20 99
10 13 74
13 19 83
20 16 54
14 15 73
15 19 77
10 20 94
14 12 63
12 15 63
14 12 55
10 14 59
18 11 82
17 16 91
16 10 56
11 10 64
11 16 67
12 20 91
20 10 92
13 10 60
15 19 99
13 15 72
19 18 96
14 15 95
17 12 80
19 10 96
11 14 61
19 11 53
15 11 61
20 10 86
11 19 89
13 16 63
16 10 96
14 20 72
19 16 77
16 12 88
15 14 85
19 13 62
18 11 53
11 20 76
19 17 94
19 19 60
18 15 64
14 16 73
15 12 65
20 20 63
16 16 66
19 15 76
17 18 80
16 13 76
10 14 94
20 10 76
17 19 100
19 10 85
11 11 57
13 18 93
16 16 53
18 18 61
20 15 57
19 10 78
