41 82
10 1
8 9
8 9
8 2
4 6
2 9
5 6
6 9
2 10
5 8
10 8
8 10
8 2
3 2
3 7
5 5
8 1
9 10
3 2
2 7
1 5
6 9
8 8
10 9
3 4
5 5
5 5
1 3
4 5
8 2
6 5
5 9
2 9
6 6
5 1
2 3
6 9
10 7
4 9
10 1
9 7
10 14 64
11 17 68
18 11 62
19 15 89
16 12 71
10 18 76
12 10 58
20 10 75
13 13 92
14 18 67
11 19 97
18 11 61
13 11 61
14 14 71
17 11 62
18 19 63
16 20 80
13 11 53
12 10 54
18 10 50
13 20 81
20 19 87
20 20 65
10 20 60
11 14 67
10 13 62
18 13 72
17 20 77
16 15 60
16 15 62
18 18 71
14 19 99
13 18 64
13 15 55
19 14 74
16 20 68
11 16 53
18 12 99
13 14 53
16 16 60
16 12 69
13 11 56
16 13 97
15 18 93
13 10 89
18 20 61
16 18 58
18 17 58
17 20 91
19 11 76
10 18 64
17 10 79
16 16 62
15 18 54
19 18 52
11 12 58
14 17 81
11 10 82
17 16 91
19 13 62
11 16 94
17 19 94
15 19 80
15 12 64
17 18 85
20 18 69
11 15 82
11 15 73
19 17 55
14 11 85
19 18 78
19 15 97
10 12 58
19 15 61
17 13 67
17 13 74
11 14 68
12 20 78
19 10 81
16 12 53
12 14 86
12 17 69
