44 88
9 7
6 3
5 9
10 4
4 4
10 5
2 10
9 4
9 9
2 7
2 5
5 10
3 7
1 6
5 7
8 5
4 3
6 2
8 1
9 5
8 5
8 6
5 9
9 7
6 2
9 10
3 2
7 5
7 4
3 3
1 9
4 7
6 6
4 3
2 2
8 5
3 10
1 3
8 10
1 9
10 4
9 2
2 2
10 5
17 10 70
13 11 83
17 19 74
16 20 76
11 14 62
20 12 81
14 14 53
18 18 96
19 15 95
19 18 68
18 18 56
13 11 100
19 13 86
13 20 53
18 19 75
18 14 75
10 13 63
18 18 60
15 20 91
16 19 93
18 11 50
10 17 79
15 13 64
15 17 79
10 17 80
13 10 70
20 17 74
16 15 100
19 16 84
17 15 92
10 11 66
19 13 89
16 10 98
13 19 67
10 10 51
18 13 50
20 18 57
12 20 88
18 12 95
19 14 86
18 20 66
19 13 80
13 19 78
19 13 76
18 10 50
18 18 93
13 14 62
19 20 100
13 20 67
20 10 99
17 15 97
16 10 88
18 10 77
13 17 61
18 10 87
13 10 61
14 13 67
14 15 86
11 13 78
16 18 60
18 10 79
16 12 79
19 10 51
19 11 76
14 20 58
18 12 69
20 14 93
20 13 52
17 20 79
18 13 57
20 12 84
12 13 66
11 12 97
17 14 96
10 20 77
14 17 61
13 15 83
13 13 89
15 20 64
10 20 96
17 18 97
15 10 99
19 11 77
17 18 84
18 18 58
16 11 100
11 11 83
14 15 95
