49 98
7 3
4 8
7 4
8 3
9 10
10 4
8 6
10 9
10 2
10 5
8 2
9 7
5 5
3 2
9 3
9 6
4 3
6 3
6 7
10 3
9 9
8 2
1 4
4 10
8 7
10 10
2 6
9 5
1 5
10 6
4 3
1 6
3 9
2 7
1 5
6 4
4 10
4 7
6 4
2 9
7 4
7 10
8 10
7 9
9 3
1 10
2 3
1 8
1 1
11 14 71
19 17 92
15 14 66
12 17 91
14 10 58
11 18 74
17 19 94
15 16 92
19 17 83
15 15 51
16 20 89
18 15 62
18 16 60
16 19 85
15 11 61
17 17 93
16 17 51
13 17 90
14 17 59
14 13 63
14 11 59
13 13 59
11 12 100
12 16 76
11 12 57
11 14 81
13 14 99
20 17 50
16 11 92
19 18 76
14 12 62
10 15 64
12 11 84
13 13 71
14 14 53
12 15 57
18 20 75
18 11 76
18 16 98
14 12 57
17 12 67
18 14 83
16 16 69
13 14 70
11 18 89
18 19 66
11 11 59
11 15 69
10 12 53
13 12 59
14 11 89
20 20 66
14 12 64
17 16 96
17 12 98
14 15 69
11 16 61
10 18 75
16 19 61
15 14 83
12 19 53
15 19 88
17 12 53
15 14 78
20 17 99
18 20 92
12 13 84
13 13 68
17 13 51
11 15 77
13 12 67
19 19 62
10 18 71
18 13 78
17 18 90
17 10 77
14 15 86
17 17 90
18 10 98
11 13 71
18 18 73
19 17 80
11 20 64
17 10 54
12 19 54
10 11 94
16 18 98
19 11 81
18 13 95
14 18 64
11 12 77
15 14 72
16 13 94
18 13 58
18 20 90
15 11 56
14 12 59
14 20 96
