n_packs, n_bins, n_bins_used, cost, time_limit, running_time,
5,5,1,67.0,300,0.010309954000000001,
6,6,2,113.0,300,0.010202682000000001,
7,7,1,51.0,300,0.017055301000000002,
8,8,2,118.0,300,0.024964115000000002,
9,9,1,67.0,300,0.024449014,
10,10,2,107.0,300,0.041903864000000006,
11,11,1,61.0,300,0.032802016,
12,12,1,52.0,300,0.042741667000000004,
13,13,1,55.0,300,0.047163935000000004,
14,14,2,102.0,300,8.072995929000001,
15,15,2,112.0,300,0.07816664200000001,
16,16,2,121.0,300,0.206971712,
17,17,2,112.0,300,300.022565082,
18,18,1,78.0,300,300.022594766,
19,19,2,110.0,300,0.148197263,
20,20,3,158.0,300,21.302302766,
21,21,3,189.0,300,300.055136573,
22,22,3,174.0,300,300.055131086,
23,23,2,130.0,300,300.047539285,
24,24,3,180.0,300,300.051300813,
25,25,2,148.0,300,300.037705427,
26,26,3,154.0,300,300.028868037,
27,27,3,166.0,300,300.04927351000003,
28,28,3,203.0,300,300.049832711,
29,29,3,157.0,300,300.051185458,
30,30,3,167.0,300,300.05406175800005,
31,31,3,232.0,300,300.07433739500004,
32,32,3,204.0,300,299.965560191,
33,33,3,179.0,300,300.104134279,
34,34,3,189.0,300,300.06367481300003,
35,35,4,247.0,300,300.069304795,
36,36,3,165.0,300,300.08286599400003,
37,37,4,231.0,300,300.086955604,
38,38,4,229.0,300,300.076761409,
39,39,4,227.0,300,300.077071945,
40,40,5,280.0,300,300.09561069,
41,41,4,236.0,300,299.90235645800004,
42,42,5,303.0,300,300.10434103100005,
43,43,4,243.0,300,300.090363007,
44,44,5,282.0,300,300.10006043500005,
45,45,5,348.0,300,300.084086287,
46,46,5,344.0,300,300.11359186500005,
47,47,5,274.0,300,300.08695350100004,
48,48,4,231.0,300,300.09245745600003,
49,49,4,257.0,300,300.062437634,
50,50,4,241.0,300,299.96010429700004,
51,51,6,347.0,300,300.124167632,
52,52,6,385.0,300,300.121521911,
53,53,7,396.0,300,300.150311219,
54,54,5,291.0,300,300.133946649,
60,60,6,319.0,300,300.15499833,
90,90,9,595.0,300,300.35087882,
120,120,14,764.0,300,300.68467811600004,
150,150,23,1223.0,300,301.761734878,
180,180,28,1529.0,300,315.160226716,

