n_packs,n_bins,n_bins_used,cost,time_limit,running_time,
5,5,1,67.0,300,0.009995817,
6,6,2,113.0,300,0.014351177000000001,
7,7,1,51.0,300,0.018686675,
8,8,2,118.0,300,0.049103828,
9,9,1,67.0,300,0.07779345900000001,
10,10,2,107.0,300,0.07823914500000001,
11,11,1,61.0,300,0.083934309,
12,12,1,52.0,300,0.060148023,
13,13,1,55.0,300,0.068774298,
14,14,2,102.0,300,16.695072516,
15,15,2,112.0,300,1.065052984,
16,16,2,121.0,300,0.28359839000000003,
17,17,2,112.0,300,300.01696730500004,
18,18,1,78.0,300,300.013929798,
19,19,2,110.0,300,0.20393686900000002,
20,20,3,158.0,300,32.070743214000004,
21,21,3,189.0,300,300.0159405,
22,22,3,174.0,300,300.017202274,
23,23,2,130.0,300,300.017563527,
24,24,3,180.0,300,300.01548018,
25,25,2,148.0,300,300.014408157,
26,26,3,154.0,300,300.01899651,
27,27,3,166.0,300,300.01758365200004,
28,28,3,204.0,300,300.01686923200003,
29,29,3,157.0,300,300.016700668,
30,30,3,167.0,300,300.021694591,
31,31,3,232.0,300,300.019328894,
32,32,3,204.0,300,300.01968575300003,
33,33,3,179.0,300,300.018645617,
34,34,3,189.0,300,300.020668504,
35,35,4,247.0,300,300.020388823,
36,36,3,165.0,300,300.025019234,
37,37,4,231.0,300,300.02509683200003,
38,38,4,229.0,300,300.023673792,
39,39,4,227.0,300,300.02422389000003,
40,40,5,278.0,300,300.02459268300004,
41,41,4,239.0,300,300.024462663,
42,42,5,305.0,300,300.02604185900003,
43,43,4,255.0,300,300.02411456000004,
44,44,5,284.0,300,300.02497278100003,
45,45,7,364.0,300,300.03127692500004,
46,46,5,335.0,300,300.028579217,
47,47,5,259.0,300,300.028534036,
48,48,5,262.0,300,300.028623832,
49,49,4,257.0,300,300.031197806,
50,50,4,241.0,300,300.02806592,
51,51,6,347.0,300,300.029946606,
52,52,6,395.0,300,300.03650767700003,
53,53,7,416.0,300,300.03755349,
54,54,5,295.0,300,300.03679718,
60,60,6,324.0,300,300.041346584,
90,90,9,598.0,300,300.100626181,
120,120,14,778.0,300,300.18746310200004,
150,150,16,929.0,300,300.377558715,
180,180,23,1399.0,300,300.49591065600004,
210,210,22,1301.0,300,300.700311047,
240,240,34,2197.0,300,301.026430811,
270,270,,,300,,
300,300,,,300,,
330,330,,,300,,
350,122,13,4600.0,300,301.158315819,
400,400,,,300,,
450,450,,,300,,
500,500,,,300,,
550,550,,,300,,
600,600,,,300,,
650,650,,,300,,
700,700,,,300,,
750,750,,,300,,
800,800,,,300,,
850,850,,,300,,
900,900,,,300,,
950,950,,,300,,
1000,1000,,,300,,
7,3,2,250.0,300,0.050590341000000004,
