n_packs, n_bins, n_bins_used, cost, time_limit, running_time,
5,5,1,67.0,300,0.009632318,
6,6,2,113.0,300,0.013260594,
7,7,1,51.0,300,0.017105002,
8,8,2,118.0,300,0.036110462,
9,9,1,67.0,300,0.031642009,
10,10,2,107.0,300,0.047269410000000005,
11,11,1,61.0,300,0.046377235,
12,12,1,52.0,300,0.057399599,
13,13,1,55.0,300,0.063064481,
14,14,2,102.0,300,14.982003041,
15,15,2,112.0,300,0.955160031,
16,16,2,121.0,300,0.26035510500000003,
17,17,2,112.0,300,300.011582377,
18,18,1,78.0,300,300.007817885,
19,19,2,110.0,300,0.19607048900000001,
20,20,3,158.0,300,29.53821385,
21,21,3,189.0,300,300.014169439,
22,22,3,174.0,300,300.017337522,
23,23,2,130.0,300,300.01234223200004,
24,24,3,180.0,300,300.013595291,
25,25,2,148.0,300,300.01272385600004,
26,26,3,154.0,300,300.01736884900004,
27,27,3,166.0,300,300.01687813300003,
28,28,3,204.0,300,300.014721536,
29,29,3,157.0,300,300.015858675,
30,30,3,167.0,300,300.02445593600004,
31,31,3,232.0,300,300.01645487300004,
32,32,3,204.0,300,300.022137487,
33,33,3,179.0,300,300.01806927800004,
34,34,3,189.0,300,300.01802684300003,
35,35,4,247.0,300,300.019536456,
36,36,3,165.0,300,300.02712296100003,
37,37,4,231.0,300,300.021308356,
38,38,4,229.0,300,300.024146925,
39,39,4,227.0,300,300.023058429,
40,40,5,277.0,300,300.02209083400004,
41,41,4,239.0,300,300.022465049,
42,42,5,305.0,300,300.022887141,
43,43,4,255.0,300,300.023785933,
44,44,5,284.0,300,300.02502121500004,
45,45,7,364.0,300,300.026899808,
46,46,5,335.0,300,300.02613402400004,
47,47,5,275.0,300,300.02690892600003,
48,48,5,262.0,300,300.032005587,
49,49,4,257.0,300,300.02912376700004,
50,50,4,241.0,300,300.02800809,
51,51,6,347.0,300,300.03091715100004,
52,52,6,395.0,300,300.03127029200004,
53,53,7,416.0,300,300.034322517,
54,54,5,295.0,300,300.03319412300004,
60,60,6,324.0,300,300.038460639,
90,90,9,582.0,300,300.101434653,
120,120,14,778.0,300,300.17731840100004,
150,150,16,929.0,300,300.301440749,
180,180,23,1399.0,300,300.478576713,
210,210,22,1302.0,300,300.705558992,
240,240,35,2241.0,300,301.024743477,
270,270,,,300,,
300,300,,,300,,
330,330,,,300,,
350,122,13,4500.0,300,301.222636991,
400,400,,,300,,
450,450,,,300,,
500,500,,,300,,
550,550,,,300,,
600,600,,,300,,
650,650,,,300,,
700,700,,,300,,
750,750,,,300,,
800,800,,,300,,
850,850,,,300,,
900,900,,,300,,
950,950,,,300,,
1000,1000,,,300,,
7,3,2,250.0,300,0.050590341000000004,
