n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,2,1,54.0,OPTIMAL,0.008486669,2.17,300,
6,3,1,94.0,OPTIMAL,0.010732150000000001,0.75,300,
7,3,2,138.0,OPTIMAL,0.011824776,0.78,300,
8,4,1,93.0,OPTIMAL,0.017613264,0.78,300,
9,4,2,159.0,OPTIMAL,0.025305848000000002,0.79,300,
10,3,1,58.0,OPTIMAL,0.020890292,0.78,300,
11,3,3,218.0,OPTIMAL,0.038642925,0.92,300,
12,4,3,215.0,OPTIMAL,0.041365982,0.82,300,
13,4,2,168.0,OPTIMAL,0.09766155300000001,1.03,300,
14,4,2,116.0,OPTIMAL,0.058650834000000006,0.86,300,
15,5,2,110.0,OPTIMAL,0.650317647,1.44,300,
16,5,2,128.0,OPTIMAL,3.1178304640000003,3.91,300,
17,5,2,132.0,OPTIMAL,15.264481462000001,16.12,300,
18,6,2,161.0,OPTIMAL,29.941158558,31.12,300,
19,6,2,145.0,OPTIMAL,1.138048865,1.94,300,
20,6,2,112.0,OPTIMAL,0.46444496300000004,1.27,300,
21,7,3,184.0,FEASIBLE,300.009399023,300.97,300,
22,7,3,182.0,OPTIMAL,5.855388905000001,6.75,300,
23,7,2,151.0,OPTIMAL,3.522984516,4.99,300,
24,8,2,128.0,OPTIMAL,103.58389273200001,104.49,300,
25,8,3,205.0,FEASIBLE,300.011898787,301.09,300,
26,8,3,169.0,FEASIBLE,300.012394007,300.99,300,
27,9,3,202.0,FEASIBLE,300.01428593,300.96,300,
28,9,3,169.0,FEASIBLE,300.01075890600004,300.99,300,
29,9,4,263.0,FEASIBLE,300.018449035,301.02,300,
30,10,4,279.0,FEASIBLE,300.020307877,301.06,300,
31,10,4,289.0,FEASIBLE,300.020553135,301.21,300,
32,10,4,231.0,FEASIBLE,300.017346632,301.06,300,
33,11,4,294.0,FEASIBLE,300.018430458,301.11,300,
34,11,4,292.0,FEASIBLE,300.042489335,301.17,300,
35,11,5,335.0,FEASIBLE,300.023289243,301.50,300,
36,12,4,261.0,FEASIBLE,300.02037046500004,301.18,300,
37,12,4,264.0,FEASIBLE,300.02370351300004,301.19,300,
38,12,4,263.0,FEASIBLE,300.01931181000003,301.21,300,
39,13,5,268.0,FEASIBLE,300.022342175,301.30,300,
40,13,4,262.0,FEASIBLE,300.021879838,301.46,300,
41,13,5,300.0,FEASIBLE,300.023077842,301.33,300,
42,14,5,290.0,FEASIBLE,300.02387481,301.36,300,
43,14,5,327.0,FEASIBLE,300.023919675,301.48,300,
44,14,6,413.0,FEASIBLE,300.026445201,301.39,300,
45,15,4,273.0,FEASIBLE,300.02409840800004,301.54,300,
46,15,5,305.0,FEASIBLE,300.025084922,301.50,300,
47,15,7,437.0,FEASIBLE,300.030913725,301.51,300,
48,16,5,300.0,FEASIBLE,300.020385716,301.70,300,
49,16,5,349.0,FEASIBLE,300.021929386,301.48,300,
50,16,7,485.0,FEASIBLE,300.020686077,301.69,300,
51,17,6,382.0,FEASIBLE,300.02368751200004,301.62,300,
52,17,5,314.0,FEASIBLE,300.022905163,301.63,300,
53,17,6,434.0,FEASIBLE,300.02233972,301.67,300,
54,18,8,455.0,FEASIBLE,300.025917391,301.71,300,
60,20,6,334.0,FEASIBLE,300.04001727400004,302.15,300,
90,30,10,623.0,FEASIBLE,300.058270688,304.48,300,
120,40,13,895.0,FEASIBLE,300.112266555,308.21,300,
150,50,16,994.0,FEASIBLE,300.184542662,318.15,300,
180,60,21,1443.0,FEASIBLE,300.272199929,322.88,300,
210,70,24,1596.0,FEASIBLE,300.38255489100004,334.52,300,
240,80,35,2296.0,FEASIBLE,300.524358157,348.74,300,
270,90,34,2259.0,FEASIBLE,300.708610962,378.77,300,
300,100,41,2723.0,FEASIBLE,300.88088958500003,392.94,300,
330,110,55,4104.0,FEASIBLE,307.498684734,436.62,300,
350,116,91,7091.0,FEASIBLE,308.75473151700004,454.03,300,
400,133,,,NO SOLUTION FOUND,,306.39,300,
450,150,,,NO SOLUTION FOUND,,321.44,300,
500,166,,,NO SOLUTION FOUND,,453.72,300,
550,183,,,NO SOLUTION FOUND,,522.11,300,
600,200,,,NO SOLUTION FOUND,,661.03,300,
650,216,,,NO SOLUTION FOUND,,799.61,300,
700,233,,,NO SOLUTION FOUND,,1008.66,300,
750,250,,,NO SOLUTION FOUND,,1035.32,300,
800,266,,,NO SOLUTION FOUND,,1043.97,300,
850,283,,,NO SOLUTION FOUND,,1005.51,300,
900,300,,,NO SOLUTION FOUND,,1005.66,300,
950,316,,,NO SOLUTION FOUND,,1020.22,300,
1000,333,,,NO SOLUTION FOUND,,1016.06,300,
7,3,2,250.0,OPTIMAL,0.085792193,0.95,300,

