n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,2,1,54.0,OPTIMAL,0.066080972,0.56,300,
6,3,1,94.0,OPTIMAL,0.016042769000000002,0.35,300,
7,3,2,138.0,OPTIMAL,0.017905468,0.37,300,
8,4,1,93.0,OPTIMAL,0.034806239,0.38,300,
9,4,2,159.0,OPTIMAL,0.035633421000000005,0.38,300,
10,3,1,58.0,OPTIMAL,0.030854619000000003,0.38,300,
11,3,3,218.0,OPTIMAL,0.054645813,0.41,300,
12,4,3,215.0,OPTIMAL,0.054769008,0.42,300,
13,4,2,168.0,OPTIMAL,0.11881356800000001,0.49,300,
14,4,2,116.0,OPTIMAL,0.089365041,0.47,300,
15,5,2,110.0,OPTIMAL,0.9669209790000001,1.36,300,
16,5,2,128.0,OPTIMAL,1.37796896,1.79,300,
17,5,2,132.0,OPTIMAL,13.621021663,14.05,300,
18,6,2,161.0,OPTIMAL,28.931229979,29.38,300,
19,6,2,145.0,OPTIMAL,18.601277501000002,19.04,300,
20,6,2,112.0,OPTIMAL,0.6629260650000001,1.12,300,
21,7,3,184.0,FEASIBLE,300.034726142,300.51,300,
22,7,3,182.0,OPTIMAL,8.289009704,8.79,300,
23,7,2,151.0,OPTIMAL,1.972900542,2.47,300,
24,8,2,128.0,OPTIMAL,113.035329141,113.58,300,
25,8,3,205.0,FEASIBLE,300.036941715,300.57,300,
26,8,3,169.0,FEASIBLE,300.053210359,300.61,300,
27,9,3,202.0,FEASIBLE,300.05323511200004,300.64,300,
28,9,3,169.0,FEASIBLE,300.04108473,300.65,300,
29,9,4,263.0,FEASIBLE,300.059840068,300.69,300,
30,10,4,279.0,FEASIBLE,300.06271286000003,300.74,300,
31,10,4,304.0,FEASIBLE,300.058178269,300.74,300,
32,10,4,231.0,FEASIBLE,300.03646564400003,300.78,300,
33,11,4,295.0,FEASIBLE,300.034176157,300.79,300,
34,11,4,292.0,FEASIBLE,300.06444746,300.87,300,
35,11,5,335.0,FEASIBLE,300.08044797400004,300.87,300,
36,12,4,261.0,FEASIBLE,300.05414290000004,300.89,300,
37,12,4,264.0,FEASIBLE,300.042956656,300.94,300,
38,12,4,263.0,FEASIBLE,300.03461139,300.94,300,
39,13,5,270.0,FEASIBLE,300.06475484500004,301.02,300,
40,13,4,262.0,FEASIBLE,300.044190429,301.04,300,
41,13,5,306.0,FEASIBLE,300.04997467000004,301.08,300,
42,14,4,266.0,FEASIBLE,300.03758364500004,301.12,300,
43,14,5,327.0,FEASIBLE,300.047228953,301.16,300,
44,14,6,413.0,FEASIBLE,300.06427004,301.20,300,
45,15,4,273.0,FEASIBLE,300.056716656,301.25,300,
46,15,5,305.0,FEASIBLE,300.05144175500004,301.31,300,
47,15,6,398.0,FEASIBLE,300.068501834,301.37,300,
48,16,5,300.0,FEASIBLE,300.059192306,301.41,300,
49,16,6,356.0,FEASIBLE,300.061911456,301.48,300,
50,16,7,495.0,FEASIBLE,300.07262599300003,301.54,300,
51,17,6,382.0,FEASIBLE,300.070367821,301.60,300,
52,17,6,358.0,FEASIBLE,300.063937096,301.63,300,
53,17,6,434.0,FEASIBLE,300.076838335,301.80,300,
54,18,8,455.0,FEASIBLE,300.10212493,301.82,300,
60,20,6,353.0,FEASIBLE,300.084308296,302.23,300,
90,30,11,639.0,FEASIBLE,300.142860228,305.41,300,
120,40,14,938.0,FEASIBLE,300.22447654,310.63,300,
150,50,15,967.0,FEASIBLE,300.38528095500004,318.81,300,
180,60,22,1485.0,FEASIBLE,300.699633942,332.54,300,
210,70,24,1619.0,FEASIBLE,300.84710624400003,347.08,300,
240,80,52,3527.0,FEASIBLE,301.211752741,366.94,300,
270,90,57,4238.0,FEASIBLE,301.663177959,393.68,300,
300,100,40,2471.0,FEASIBLE,302.35609057600004,424.10,300,
330,110,43,3047.0,FEASIBLE,303.037923936,463.08,300,
350,116,59,4306.0,FEASIBLE,309.915824411,498.31,300,
400,133,102,7577.0,FEASIBLE,305.104950185,577.52,300,
450,150,,,NO SOLUTION FOUND,,699.24,300,
500,166,,,NO SOLUTION FOUND,,833.77,300,
550,183,,,NO SOLUTION FOUND,,961.46,300,
600,200,,,NO SOLUTION FOUND,,996.59,300,
650,216,,,NO SOLUTION FOUND,,1281.51,300,
700,233,,,NO SOLUTION FOUND,,1562.87,300,
750,250,,,NO SOLUTION FOUND,,1796.45,300,
800,266,,,NO SOLUTION FOUND,,2134.44,300,
850,283,,,NO SOLUTION FOUND,,2476.87,300,
900,300,,,NO SOLUTION FOUND,,2852.09,300,
950,316,,,NO SOLUTION FOUND,,3393.93,300,
1000,333,,,NO SOLUTION FOUND,,3575.20,300,
7,3,2,250.0,OPTIMAL,0.10758286700000001,1.27,300,

