n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,300,None,9.9999997473787516356e-05,0.00,300,
10,3,1,58,None,0.00012300000526010990143,0.00,300,
11,3,3,218,None,0.00010699999984353780746,0.00,300,
12,4,3,236,None,0.0001130000018747523427,0.00,300,
13,4,2,168,None,0.00011800000356743112206,0.00,300,
14,4,3,172,None,0.0001289999927394092083,0.00,300,
15,5,2,110,None,0.00013000000035390257835,0.00,300,
16,5,2,128,None,0.00013299999409355223179,0.00,300,
17,5,2,165,None,0.00013600000238511711359,0.00,300,
18,6,2,161,None,0.00014400000509340316057,0.00,300,
19,6,3,219,None,0.00014600000577047467232,0.00,300,
20,6,3,209,None,0.00014099999680183827877,0.00,300,
21,7,3,186,None,0.00017200000002048909664,0.00,300,
22,7,3,186,None,0.00020300000323913991451,0.00,300,
23,7,2,151,None,0.00017499999376013875008,0.00,300,
24,8,2,136,None,0.00018299999646842479706,0.00,300,
25,8,3,227,None,0.00019299999985378235579,0.00,300,
26,8,3,169,None,0.00021600000036414712667,0.00,300,
27,9,4,295,None,0.00021699999342672526836,0.00,300,
28,9,3,197,None,0.00027300001238472759724,0.00,300,
29,9,4,275,None,0.00022400000307243317366,0.00,300,
30,10,4,294,None,0.00029299999005161225796,0.00,300,
31,10,5,371,None,0.00031400000443682074547,0.00,300,
32,10,4,231,None,0.00029200001154094934464,0.00,300,
33,11,4,295,None,0.00036400000681169331074,0.00,300,
34,11,4,292,None,0.00027600000612437725067,0.00,300,
35,11,5,371,None,0.00031100001069717109203,0.00,300,
36,12,4,269,None,0.00030399998649954795837,0.00,300,
37,12,5,329,None,0.00036299999919719994068,0.00,300,
38,12,4,295,None,0.00038799998583272099495,0.00,300,
39,13,5,280,None,0.00022099999478086829185,0.00,300,
40,13,4,265,None,0.00019000000611413270235,0.00,300,
41,13,5,313,None,0.00028000000747852027416,0.00,300,
42,14,5,328,None,0.00022899999748915433884,0.00,300,
43,14,5,336,None,0.00023900000087451189756,0.00,300,
44,14,6,440,None,0.00024799999664537608624,0.00,300,
45,15,4,281,None,0.00021600000036414712667,0.00,300,
46,15,5,321,None,0.00023700000019744038582,0.00,300,
47,15,7,459,None,0.00022699999681208282709,0.00,300,
48,16,6,356,None,0.00024600001052021980286,0.00,300,
49,16,6,365,None,0.00024399999529123306274,0.00,300,
50,16,8,552,None,0.00030099999275989830494,0.00,300,
51,17,6,392,None,0.00027899999986402690411,0.00,300,
52,17,5,325,None,0.00026800000341609120369,0.00,300,
53,17,7,495,None,0.00029399999766610562801,0.00,300,
54,18,8,476,None,0.0003169999981764703989,0.00,300,
90,30,11,645,None,0.0007099999929778277874,0.00,300,
120,40,13,889,None,0.00076899997657164931297,0.00,300,
150,50,14,928,None,0.0011879999656230211258,0.00,300,
180,60,20,1328,None,0.001490000053308904171,0.00,300,
210,70,21,1424,None,0.0020169999916106462479,0.00,300,
240,80,26,1648,None,0.0024480000138282775879,0.00,300,
270,90,27,1841,None,0.0027409999165683984756,0.00,300,
300,100,31,1965,None,0.0038419999182224273682,0.00,300,
330,110,33,2268,None,0.0040950002148747444153,0.00,300,
350,116,38,2604,None,0.004718000069260597229,0.00,300,
550,183,56,3769,None,0.010625000111758708954,0.01,300,
600,200,62,3888,None,0.012218999676406383514,0.01,300,
650,216,69,4411,None,0.014312000013887882233,0.01,300,
700,233,76,4847,None,0.016622999683022499084,0.01,300,
750,250,75,4810,None,0.018112000077962875366,0.02,300,
800,266,82,5394,None,0.020712999626994132996,0.02,300,
850,283,89,5874,None,0.022957000881433486938,0.02,300,
900,300,98,6618,None,0.025657000020146369934,0.02,300,
950,316,95,6147,None,0.028611000627279281616,0.03,300,
10000,3333,1041,68273,None,2.7323520183563232422,2.73,300,
1000,333,102,6704,None,0.030519999563694000244,0.03,300,
2000,666,208,13562,None,0.11296500265598297119,0.11,300,
3000,1000,298,19788,None,0.24627999961376190186,0.24,300,
4000,1333,411,27218,None,0.45941901206970214844,0.46,300,
5000,1666,517,34297,None,0.70298397541046142578,0.70,300,
6000,2000,602,39186,None,0.96762698888778686523,0.96,300,
7000,2333,724,47710,None,1.3441530466079711914,1.34,300,
8000,2666,828,54066,None,1.7296160459518432617,1.73,300,
9000,3000,940,62510,None,2.1930449008941650391,2.19,300,
