n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,250.0,OPTIMAL,2.966,3.07,300,
10,3,1,58.0,OPTIMAL,0.557,0.67,300,
11,3,3,218.0,OPTIMAL,21.756,21.87,300,
12,4,3,215.0,OPTIMAL,11.785,11.89,300,
13,4,2,168.0,OPTIMAL,180.868,180.97,300,
14,4,2,116.0,OPTIMAL,72.673,72.78,300,
15,5,2,110.0,FEASIBLE,300.044,300.17,300,
16,5,2,128.0,FEASIBLE,300.06,300.20,300,
17,5,2,132.0,FEASIBLE,300.05,300.22,300,
18,6,2,161.0,FEASIBLE,300.06,300.23,300,
19,6,3,210.00000000000003,FEASIBLE,300.064,300.23,300,
20,6,2,150.0,FEASIBLE,300.072,300.26,300,
21,7,4,248.0,FEASIBLE,300.079,300.24,300,
22,7,4,241.99999999999997,FEASIBLE,300.098,300.28,300,
23,7,3,228.0,FEASIBLE,300.096,300.27,300,
24,8,3,181.0,FEASIBLE,300.102,300.28,300,
25,8,4,302.0,FEASIBLE,300.112,300.29,300,
26,8,4,263.0,FEASIBLE,300.139,300.32,300,
27,9,4,327.0,FEASIBLE,300.132,300.32,300,
28,9,4,262.0,FEASIBLE,300.199,300.38,300,
29,9,,,NO SOLUTION FOUND,,300.32,300,
30,10,6,511.0,FEASIBLE,300.188,300.38,300,
31,10,7,532.0,FEASIBLE,300.194,300.39,300,
32,10,6,419.0,FEASIBLE,300.195,300.39,300,
33,11,8,636.0,FEASIBLE,300.211,300.42,300,
34,11,,,NO SOLUTION FOUND,,300.50,300,
35,11,8,613.0,FEASIBLE,300.242,300.44,300,
36,12,9,697.0,FEASIBLE,300.253,300.46,300,
37,12,7,526.0,FEASIBLE,300.3,300.52,300,
38,12,,,NO SOLUTION FOUND,,300.45,300,
39,13,13,819.0000000000001,FEASIBLE,300.28,300.49,300,
40,13,12,854.0,FEASIBLE,300.332,300.55,300,
41,13,,,NO SOLUTION FOUND,,300.57,300,
42,14,12,863.0,FEASIBLE,300.326,300.55,300,
43,14,,,NO SOLUTION FOUND,,300.55,300,
44,14,,,NO SOLUTION FOUND,,300.65,300,
45,15,,,NO SOLUTION FOUND,,300.63,300,
46,15,,,NO SOLUTION FOUND,,300.61,300,
47,15,,,NO SOLUTION FOUND,,300.65,300,
48,16,14,1014.0000000000001,FEASIBLE,300.795,301.03,300,
49,16,,,NO SOLUTION FOUND,,300.66,300,
50,16,,,NO SOLUTION FOUND,,300.69,300,
51,17,,,NO SOLUTION FOUND,,300.88,300,
52,17,,,NO SOLUTION FOUND,,300.80,300,
53,17,,,NO SOLUTION FOUND,,300.78,300,
54,18,,,NO SOLUTION FOUND,,300.84,300,
90,30,,,NO SOLUTION FOUND,,302.11,300,
120,40,,,NO SOLUTION FOUND,,311.30,300,
150,50,,,NO SOLUTION FOUND,,307.25,300,
180,60,,,NO SOLUTION FOUND,,355.00,300,
210,70,,,NO SOLUTION FOUND,,362.65,300,
240,80,,,NO SOLUTION FOUND,,312.47,300,
270,90,,,NO SOLUTION FOUND,,318.06,300,
300,100,,,NO SOLUTION FOUND,,319.83,300,
330,110,,,NO SOLUTION FOUND,,324.13,300,
350,116,,,NO SOLUTION FOUND,,327.73,300,
550,183,,,NO SOLUTION FOUND,,372.37,300,
600,200,,,NO SOLUTION FOUND,,518.36,300,
