n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,300,None,9.1000001702923327684e-05,0.01,None,
10,3,1,58,None,0.00011000000085914507508,0.00,None,
11,3,3,218,None,0.00013800000306218862534,0.00,None,
12,4,3,236,None,0.00011400000221328809857,0.00,None,
13,4,2,168,None,0.00014400000509340316057,0.01,None,
14,4,2,116,None,0.00013499999477062374353,0.00,None,
15,5,2,110,None,0.00010699999984353780746,0.00,None,
16,5,2,128,None,0.00011200000153621658683,0.00,None,
17,5,2,165,None,0.00011500000255182385445,0.00,None,
18,6,2,161,None,0.00012599999899975955486,0.00,None,
19,6,3,219,None,0.00013299999409355223179,0.00,None,
20,6,2,112,None,0.00011100000119768083096,0.00,None,
21,7,3,186,None,0.00013699999544769525528,0.00,None,
22,7,3,186,None,0.00017800000205170363188,0.01,None,
23,7,2,151,None,0.0002229999954579398036,0.01,None,
24,8,2,136,None,0.00016300000424962490797,0.01,None,
25,8,3,227,None,0.00018699999782256782055,0.01,None,
26,8,3,169,None,0.00016100000357255339622,0.00,None,
27,9,3,206,None,0.00017499999376013875008,0.00,None,
28,9,3,197,None,0.00017299999308306723833,0.00,None,
29,9,4,275,None,0.00016900000628083944321,0.00,None,
30,10,4,294,None,0.00019299999985378235579,0.00,None,
31,10,5,371,None,0.00023099999816622585058,0.00,None,
32,10,4,231,None,0.00018899999849963933229,0.00,None,
33,11,4,295,None,0.00019799999427050352097,0.00,None,
34,11,4,292,None,0.00021699999342672526836,0.00,None,
35,11,5,371,None,0.00021199999901000410318,0.00,None,
36,12,4,269,None,0.00019500000053085386753,0.00,None,
37,12,5,329,None,0.0002229999954579398036,0.00,None,
38,12,4,295,None,0.00020900000527035444975,0.00,None,
39,13,5,280,None,0.00023000000510364770889,0.00,None,
40,13,4,265,None,0.00023700000019744038582,0.00,None,
41,13,5,313,None,0.00024900000425986945629,0.00,None,
42,14,5,328,None,0.00023600000713486224413,0.00,None,
43,14,5,336,None,0.00025700000696815550327,0.00,None,
44,14,6,440,None,0.00023299999884329736233,0.00,None,
45,15,4,281,None,0.00038099999073892831802,0.00,None,
46,15,5,321,None,0.00027300001238472759724,0.00,None,
47,15,7,459,None,0.00028099998598918318748,0.00,None,
48,16,6,356,None,0.00029299999005161225796,0.00,None,
49,16,6,365,None,0.00028199999360367655754,0.00,None,
50,16,8,552,None,0.00028999999631196260452,0.00,None,
51,17,6,392,None,0.00030700000934302806854,0.00,None,
52,17,5,325,None,0.00029100000392645597458,0.00,None,
53,17,7,495,None,0.00032200000714510679245,0.00,None,
54,18,8,476,None,0.00032699998700991272926,0.00,None,
90,30,11,645,None,0.00055699999211356043816,0.00,None,
120,40,13,889,None,0.00090599997201934456825,0.01,None,
150,50,14,928,None,0.001242000027559697628,0.01,None,
180,60,20,1328,None,0.0018850000342354178429,0.01,None,
210,70,21,1424,None,0.0021939999423921108246,0.01,None,
240,80,26,1648,None,0.0026930000167340040207,0.01,None,
270,90,27,1841,None,0.0032899999059736728668,0.01,None,
300,100,31,1965,None,0.0039119999855756759644,0.01,None,
330,110,33,2268,None,0.004517999943345785141,0.01,None,
350,116,38,2604,None,0.0052439998835325241089,0.01,None,
550,183,56,3769,None,0.011838000267744064331,0.02,None,
600,200,62,3888,None,0.01396800018846988678,0.02,None,
650,216,69,4411,None,0.015854999423027038574,0.02,None,
700,233,76,4847,None,0.020051000639796257019,0.02,None,
750,250,75,4810,None,0.020481999963521957397,0.03,None,
800,266,82,5394,None,0.024253999814391136169,0.03,None,
850,283,89,5874,None,0.027352999895811080933,0.03,None,
900,300,98,6618,None,0.029588999226689338684,0.04,None,
950,316,95,6147,None,0.033008001744747161865,0.04,None,
1000,333,102,6704,None,0.035858999937772750854,0.04,None,
10000,3333,1041,68273,None,3.1174509525299072266,3.13,None,
2000,666,208,13562,None,0.13191600143909454346,0.14,None,
3000,1000,298,19788,None,0.28412899374961853027,0.29,None,
4000,1333,411,27218,None,0.51722800731658935547,0.52,None,
5000,1666,517,34297,None,0.78550100326538085938,0.79,None,
6000,2000,602,39186,None,1.1447390317916870117,1.15,None,
7000,2333,724,47710,None,1.5706679821014404297,1.58,None,
8000,2666,828,54066,None,2.0345609188079833984,2.04,None,
9000,3000,940,62510,None,2.5569539070129394531,2.56,None,
