n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,300,None,3.8999998650979250669e-05,0.00,300,
10,3,1,58,None,5.800000144517980516e-05,0.00,300,
11,3,3,218,None,5.5000000429572537541e-05,0.00,300,
12,4,3,236,None,5.800000144517980516e-05,0.00,300,
13,4,2,168,None,9.2000002041459083557e-05,0.00,300,
14,4,3,172,None,0.00011600000289035961032,0.00,300,
15,5,2,110,None,7.1000002208165824413e-05,0.00,300,
16,5,2,128,None,9.0000001364387571812e-05,0.00,300,
17,5,2,165,None,0.0001019999981508590281,0.00,300,
18,6,2,161,None,0.0001019999981508590281,0.00,300,
19,6,3,219,None,0.00013099999341648072004,0.00,300,
20,6,5,112,None,9.6999996458180248737e-05,0.00,300,
21,7,3,186,None,0.00012399999832268804312,0.00,300,
22,7,3,186,None,0.00011700000322889536619,0.00,300,
23,7,2,151,None,0.00011700000322889536619,0.00,300,
24,8,2,136,None,0.00014499999815598130226,0.00,300,
25,8,3,227,None,0.00017899999511428177357,0.00,300,
26,8,3,169,None,0.0001849999971454963088,0.00,300,
27,9,7,206,None,0.0001510000001871958375,0.00,300,
28,9,3,197,None,0.00019099999917671084404,0.00,300,
29,9,4,275,None,0.00016700000560376793146,0.00,300,
30,10,4,294,None,0.00022400000307243317366,0.00,300,
31,10,5,371,None,0.00019099999917671084404,0.00,300,
32,10,4,231,None,0.00019799999427050352097,0.00,300,
33,11,4,295,None,0.0001849999971454963088,0.00,300,
34,11,4,292,None,0.00020599999697878956795,0.00,300,
35,11,5,371,None,0.00019799999427050352097,0.00,300,
36,12,4,269,None,0.00024600001052021980286,0.00,300,
37,12,5,329,None,0.00022699999681208282709,0.00,300,
38,12,4,295,None,0.00022400000307243317366,0.00,300,
39,13,5,280,None,0.00023700000019744038582,0.00,300,
40,13,4,265,None,0.00027200000477023422718,0.00,300,
41,13,5,313,None,0.00028899998869746923447,0.00,300,
42,14,5,328,None,0.00025899999309331178665,0.00,300,
43,14,5,336,None,0.0002830000012181699276,0.00,300,
44,14,6,440,None,0.00027700001373887062073,0.00,300,
45,15,4,281,None,0.00030099999275989830494,0.00,300,
46,15,5,321,None,0.00029100000392645597458,0.00,300,
47,15,7,459,None,0.00030099999275989830494,0.00,300,
48,16,6,356,None,0.00032900000223889946938,0.00,300,
49,16,6,365,None,0.00033099998836405575275,0.00,300,
50,16,8,552,None,0.00033400001120753586292,0.00,300,
51,17,6,392,None,0.00037600001087412238121,0.00,300,
52,17,5,325,None,0.00034999998752027750015,0.00,300,
53,17,7,495,None,0.00040099999750964343548,0.00,300,
54,18,8,476,None,0.00042100000428035855293,0.00,300,
90,30,11,645,None,0.00080199999501928687096,0.00,300,
120,40,13,889,None,0.0012979999883100390434,0.00,300,
150,50,14,928,None,0.0018080000299960374832,0.00,300,
180,60,20,1328,None,0.0024619998876005411148,0.00,300,
210,70,21,1424,None,0.0032480000518262386322,0.00,300,
240,80,26,1648,None,0.0041749998927116394043,0.00,300,
270,90,27,1841,None,0.0051879999227821826935,0.00,300,
300,100,31,1965,None,0.0064119999296963214874,0.00,300,
330,110,33,2268,None,0.008147000335156917572,0.01,300,
350,116,38,2604,None,0.0081420000642538070679,0.01,300,
550,183,56,3769,None,0.019791999831795692444,0.02,300,
600,200,62,3888,None,0.023633999750018119812,0.02,300,
650,216,69,4411,None,0.02642400003969669342,0.02,300,
700,233,76,4847,None,0.030620999634265899658,0.03,300,
750,250,75,4810,None,0.03438499942421913147,0.03,300,
800,266,82,5394,None,0.038630001246929168701,0.04,300,
850,283,89,5874,None,0.044009998440742492676,0.04,300,
900,300,98,6618,None,0.050266999751329421997,0.05,300,
950,316,95,6147,None,0.05239799991250038147,0.05,300,
10000,3333,1041,68273,None,5.3940949440002441406,5.39,300,
1000,333,102,6704,None,0.060389999300241470337,0.06,300,
2000,666,208,13562,None,0.23095999658107757568,0.23,300,
3000,1000,298,19788,None,0.52495199441909790039,0.53,300,
4000,1333,411,27218,None,0.91287702322006225586,0.91,300,
5000,1666,517,34297,None,1.3985199928283691406,1.40,300,
6000,2000,602,39186,None,2.0147199630737304688,2.02,300,
7000,2333,724,47710,None,2.7469089031219482422,2.74,300,
8000,2666,828,54066,None,3.4751250743865966797,3.47,300,
9000,3000,940,62510,None,4.545536041259765625,4.55,300,
