n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,300,None,6.0999998822808265686e-05,0.00,300,
10,3,1,58,None,0.00016799999866634607315,0.00,300,
11,3,3,218,None,8.199999865610152483e-05,0.00,300,
12,4,3,236,None,8.8000000687316060066e-05,0.00,300,
13,4,2,168,None,9.6999996458180248737e-05,0.00,300,
14,4,3,172,None,8.199999865610152483e-05,0.00,300,
15,5,2,110,None,9.6000003395602107048e-05,0.00,300,
16,5,2,128,None,7.9999997979030013084e-05,0.00,300,
17,5,2,165,None,0.00014400000509340316057,0.00,300,
18,6,2,161,None,0.00010599999950500205159,0.00,300,
19,6,3,219,None,0.00010499999916646629572,0.00,300,
20,6,3,209,None,0.00013099999341648072004,0.00,300,
21,7,3,186,None,0.00015599999460391700268,0.00,300,
22,7,3,186,None,0.0001209999973070807755,0.00,300,
23,7,2,151,None,0.00014600000577047467232,0.00,300,
24,8,2,136,None,0.00012199999764561653137,0.00,300,
25,8,3,227,None,0.00012700000661425292492,0.00,300,
26,8,3,169,None,0.00013000000035390257835,0.00,300,
27,9,4,295,None,0.00013699999544769525528,0.00,300,
28,9,3,197,None,0.00013000000035390257835,0.00,300,
29,9,4,275,None,0.00014299999747890979052,0.00,300,
30,10,4,294,None,0.00013400000170804560184,0.00,300,
31,10,5,371,None,0.0001510000001871958375,0.00,300,
32,10,4,231,None,0.00015999999595806002617,0.00,300,
33,11,4,295,None,0.00018099999579135328531,0.00,300,
34,11,4,292,None,0.00016199999663513153791,0.00,300,
35,11,5,371,None,0.00017100000695791095495,0.00,300,
36,12,4,269,None,0.00017600000137463212013,0.00,300,
37,12,5,329,None,0.00021199999901000410318,0.00,300,
38,12,4,295,None,0.00021399999968707561493,0.00,300,
39,13,5,280,None,0.0002260000037495046854,0.00,300,
40,13,4,265,None,0.00022899999748915433884,0.00,300,
41,13,5,313,None,0.00021899999410379678011,0.00,300,
42,14,5,328,None,0.00018800000543706119061,0.00,300,
43,14,5,336,None,0.00024100000155158340931,0.00,300,
44,14,6,440,None,0.00018899999849963933229,0.00,300,
45,15,4,281,None,0.00021199999901000410318,0.00,300,
46,15,5,321,None,0.00023000000510364770889,0.00,300,
47,15,7,459,None,0.00023000000510364770889,0.00,300,
48,16,6,356,None,0.00025099999038502573967,0.00,300,
49,16,6,365,None,0.00023900000087451189756,0.00,300,
50,16,8,552,None,0.00025499999173916876316,0.00,300,
51,17,6,392,None,0.00032099999953061342239,0.00,300,
52,17,5,325,None,0.000241999994614161551,0.00,300,
53,17,7,495,None,0.0003420000139158219099,0.00,300,
54,18,8,476,None,0.00029600001289509236813,0.00,300,
90,30,11,645,None,0.00057899998500943183899,0.00,300,
120,40,13,889,None,0.00079399999231100082397,0.00,300,
150,50,14,928,None,0.001190999988466501236,0.00,300,
180,60,20,1328,None,0.0015369999455288052559,0.00,300,
210,70,21,1424,None,0.0019570000004023313522,0.00,300,
240,80,26,1648,None,0.0024870000779628753662,0.00,300,
270,90,27,1841,None,0.0027940000873059034348,0.00,300,
300,100,31,1965,None,0.0034449999220669269562,0.00,300,
330,110,33,2268,None,0.004168999847024679184,0.00,300,
350,116,38,2604,None,0.0047969999723136425018,0.00,300,
550,183,56,3769,None,0.010325999930500984192,0.01,300,
600,200,62,3888,None,0.012360000051558017731,0.01,300,
650,216,69,4411,None,0.015451000072062015533,0.01,300,
700,233,76,4847,None,0.016206000000238418579,0.01,300,
750,250,75,4810,None,0.018880000337958335876,0.02,300,
800,266,82,5394,None,0.021742999553680419922,0.02,300,
850,283,89,5874,None,0.023840000852942466736,0.02,300,
900,300,98,6618,None,0.027465999126434326172,0.02,300,
950,316,95,6147,None,0.02943000011146068573,0.03,300,
10000,3333,1041,68273,None,2.6795239448547363281,2.68,300,
1000,333,102,6704,None,0.031500998884439468384,0.03,300,
2000,666,208,13562,None,0.11394300311803817749,0.11,300,
3000,1000,298,19788,None,0.25588598847389221191,0.25,300,
4000,1333,411,27218,None,0.45000699162483215332,0.45,300,
5000,1666,517,34297,None,0.70740401744842529297,0.70,300,
6000,2000,602,39186,None,0.96942901611328125,0.97,300,
7000,2333,724,47710,None,1.3796809911727905273,1.38,300,
8000,2666,828,54066,None,1.7523219585418701172,1.75,300,
9000,3000,940,62510,None,2.2514998912811279297,2.25,300,
