n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,300,None,0.00013499999477062374353,0.00,300,
10,3,1,58,None,0.00011999999696854501963,0.00,300,
11,3,3,218,None,0.00011800000356743112206,0.00,300,
12,4,3,236,None,0.00011500000255182385445,0.00,300,
13,4,2,168,None,0.00011999999696854501963,0.00,300,
14,4,3,172,None,0.00012599999899975955486,0.00,300,
15,5,2,110,None,0.00011700000322889536619,0.00,300,
16,5,2,128,None,0.00014000000373926013708,0.00,300,
17,5,2,165,None,0.00015199999324977397919,0.00,300,
18,6,2,161,None,0.00014699999883305281401,0.00,300,
19,6,3,219,None,0.00015700000221841037273,0.00,300,
20,6,2,112,None,0.00016100000357255339622,0.00,300,
21,7,3,186,None,0.00024100000155158340931,0.00,300,
22,7,3,186,None,0.00021100000594742596149,0.00,300,
23,7,2,151,None,0.00023299999884329736233,0.00,300,
24,8,2,136,None,0.00020199999562464654446,0.00,300,
25,8,3,227,None,0.00018899999849963933229,0.00,300,
26,8,3,169,None,0.000207000004593282938,0.00,300,
27,9,3,206,None,0.0002229999954579398036,0.00,300,
28,9,3,197,None,0.00021100000594742596149,0.00,300,
29,9,4,275,None,0.00022699999681208282709,0.00,300,
30,10,4,294,None,0.00024699998903088271618,0.00,300,
31,10,5,371,None,0.00023900000087451189756,0.00,300,
32,10,4,231,None,0.00029500000528059899807,0.00,300,
33,11,4,295,None,0.00024300000222865492105,0.00,300,
34,11,5,351,None,0.00027499999850988388062,0.00,300,
35,11,5,371,None,0.00025700000696815550327,0.00,300,
36,12,4,269,None,0.00028000000747852027416,0.00,300,
37,12,5,329,None,0.00027399999089539051056,0.00,300,
38,12,4,295,None,0.00029299999005161225796,0.00,300,
39,13,5,280,None,0.00031400000443682074547,0.00,300,
40,13,4,265,None,0.00034299999242648482323,0.00,300,
41,13,5,313,None,0.00033499998971819877625,0.00,300,
42,14,5,328,None,0.00032799999462440609932,0.00,300,
43,14,6,389,None,0.00037200000951997935772,0.00,300,
44,14,6,440,None,0.00031999999191612005234,0.00,300,
45,15,4,281,None,0.00038700000732205808163,0.00,300,
46,15,5,321,None,0.00037799999699927866459,0.00,300,
47,15,7,459,None,0.00036400000681169331074,0.00,300,
48,16,6,356,None,0.0003990000113844871521,0.00,300,
49,16,6,365,None,0.00041899998905137181282,0.00,300,
50,16,8,552,None,0.00051099999109283089638,0.00,300,
51,17,6,392,None,0.00044299999717622995377,0.00,300,
52,17,5,325,None,0.00042200001189485192299,0.00,300,
53,17,7,495,None,0.00048799999058246612549,0.00,300,
54,18,8,476,None,0.00047400000039488077164,0.00,300,
90,30,11,645,None,0.00084499997319653630257,0.00,300,
120,40,13,889,None,0.0013470000121742486954,0.00,300,
150,50,14,928,None,0.0019460000330582261086,0.00,300,
180,60,20,1328,None,0.002431999891996383667,0.00,300,
210,70,21,1424,None,0.0032029999420046806335,0.00,300,
240,80,26,1648,None,0.0039599998854100704193,0.00,300,
270,90,27,1841,None,0.0046399999409914016724,0.00,300,
300,100,31,1965,None,0.0070360000245273113251,0.01,300,
330,110,33,2268,None,0.0083189997822046279907,0.01,300,
350,116,38,2604,None,0.0084220003336668014526,0.01,300,
550,183,56,3769,None,0.017975000664591789246,0.02,300,
600,200,62,3888,None,0.020930999889969825745,0.02,300,
650,216,69,4411,None,0.023817999288439750671,0.02,300,
700,233,76,4847,None,0.027900999411940574646,0.03,300,
750,250,75,4810,None,0.029689999297261238098,0.03,300,
800,266,82,5394,None,0.034196998924016952515,0.03,300,
850,283,89,5874,None,0.038871001452207565308,0.04,300,
900,300,98,6618,None,0.044268999248743057251,0.04,300,
950,316,95,6147,None,0.045873001217842102051,0.04,300,
10000,3333,1041,68273,None,2.68947601318359375,2.70,300,
1000,333,102,6704,None,0.031401000916957855225,0.03,300,
2000,666,208,13562,None,0.11400900036096572876,0.11,300,
3000,1000,298,19788,None,0.2480379939079284668,0.25,300,
4000,1333,411,27218,None,0.44116801023483276367,0.44,300,
5000,1666,517,34297,None,0.67049199342727661133,0.67,300,
6000,2000,602,39186,None,1.5376440286636352539,1.54,300,
7000,2333,724,47710,None,2.2143371105194091797,2.21,300,
8000,2666,828,54066,None,1.9613050222396850586,1.96,300,
9000,3000,940,62510,None,2.1582520008087158203,2.16,300,
