n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,250.0,OPTIMAL,3.771,3.89,300,
10,3,1,58.0,OPTIMAL,0.638,0.77,300,
11,3,3,218.0,OPTIMAL,26.612,26.78,300,
12,4,3,215.0,OPTIMAL,13.589,13.72,300,
13,4,2,168.0,OPTIMAL,223.021,223.16,300,
14,4,2,116.0,OPTIMAL,95.17,95.31,300,
15,5,2,110.0,FEASIBLE,300.043,300.21,300,
16,5,2,128.0,FEASIBLE,300.048,300.19,300,
17,5,2,132.0,FEASIBLE,300.055,300.24,300,
18,6,2,161.0,FEASIBLE,300.066,300.25,300,
19,6,3,210.00000000000003,FEASIBLE,300.08,300.27,300,
20,6,2,150.0,FEASIBLE,300.075,300.28,300,
21,7,4,248.0,FEASIBLE,300.086,300.26,300,
22,7,4,241.99999999999997,FEASIBLE,300.098,300.27,300,
23,7,3,228.0,FEASIBLE,300.096,300.28,300,
24,8,3,181.0,FEASIBLE,300.114,300.35,300,
25,8,4,302.0,FEASIBLE,300.138,300.38,300,
26,8,4,263.0,FEASIBLE,300.134,300.36,300,
27,9,4,327.0,FEASIBLE,300.142,300.35,300,
28,9,5,313.0,FEASIBLE,300.159,300.36,300,
29,9,7,527.0,FEASIBLE,300.101,300.39,300,
30,10,6,511.0,FEASIBLE,300.174,300.38,300,
31,10,7,532.0,FEASIBLE,300.19,300.39,300,
32,10,6,419.0,FEASIBLE,300.191,300.39,300,
33,11,8,636.0,FEASIBLE,300.222,300.43,300,
34,11,,,NO SOLUTION FOUND,,300.50,300,
35,11,8,613.0,FEASIBLE,300.249,300.46,300,
36,12,9,697.0,FEASIBLE,300.256,300.47,300,
37,12,7,526.0,FEASIBLE,300.303,300.53,300,
38,12,,,NO SOLUTION FOUND,,300.47,300,
39,13,13,819.0000000000001,FEASIBLE,300.296,300.53,300,
40,13,12,854.0,FEASIBLE,300.323,300.56,300,
41,13,,,NO SOLUTION FOUND,,300.55,300,
42,14,12,869.0,FEASIBLE,300.347,300.60,300,
43,14,,,NO SOLUTION FOUND,,300.60,300,
44,14,,,NO SOLUTION FOUND,,300.80,300,
45,15,,,NO SOLUTION FOUND,,300.61,300,
46,15,,,NO SOLUTION FOUND,,300.66,300,
47,15,,,NO SOLUTION FOUND,,300.76,300,
48,16,14,1014.0000000000001,FEASIBLE,300.531,300.78,300,
49,16,,,NO SOLUTION FOUND,,300.71,300,
50,16,,,NO SOLUTION FOUND,,300.76,300,
51,17,,,NO SOLUTION FOUND,,300.86,300,
52,17,,,NO SOLUTION FOUND,,300.85,300,
53,17,,,NO SOLUTION FOUND,,300.93,300,
54,18,,,NO SOLUTION FOUND,,300.83,300,
90,30,,,NO SOLUTION FOUND,,303.71,300,
120,40,,,NO SOLUTION FOUND,,303.53,300,
150,50,,,NO SOLUTION FOUND,,320.25,300,
180,60,,,NO SOLUTION FOUND,,330.80,300,
210,70,,,NO SOLUTION FOUND,,310.21,300,
240,80,,,NO SOLUTION FOUND,,313.16,300,
270,90,,,NO SOLUTION FOUND,,317.30,300,
300,100,,,NO SOLUTION FOUND,,321.52,300,
330,110,,,NO SOLUTION FOUND,,325.94,300,
350,116,,,NO SOLUTION FOUND,,330.27,300,
550,183,,,NO SOLUTION FOUND,,411.51,300,
600,200,,,NO SOLUTION FOUND,,576.27,300,
